,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
21409,1498047,1316047,1,2,0,50,0,0,6,37,5,2017,4,0,0,3,Slight,lon,lat,0.04361938736533607,-0.9990482215818578
21410,1498047,1316047,1,2,0,50,0,0,6,37,2,2016,4,0,0,3,Assistance,lon,lat,0.04361938736533607,-0.9990482215818578
9969,1512158,1316207,10,1,1,20,0,0,3,51,1,XXXX,1,2,0,2,Assistance,lon,lat,-0.2588190451025208,-0.9659258262890683
19301,1521715,1318434,1,2,0,110,1,0,2,8,12,2007,4,0,0,3,Assistance,lon,lat,0.8090169943749473,0.5877852522924732
20647,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,0,1,3,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20648,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,1,1,1,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20649,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,1,0,1,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20650,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,1,0,3,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20651,1521097,1318958,6,2,0,110,0,0,5,26,12,2015,6,0,0,3,Slight,lon,lat,-0.13052619222005177,-0.9914448613738104
8020,1501821,1321838,1,1,1,50,0,0,1,31,1,2009,12,2,0,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
14213,1510370,1322670,8,2,1,100,0,0,6,52,2,2006,9,0,0,3,Assistance,lon,lat,-0.32556815445715676,-0.9455185755993167
9,1511879,1326556,1,2,0,110,0,0,1,1,6,1998,9,0,1,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
89,1504113,1329441,6,2,0,110,0,0,2,2,5,2015,6,1,1,1,Slight,lon,lat,-0.9914448613738104,-0.13052619222005163
90,1504113,1329441,6,2,0,110,0,0,2,2,5,2015,6,1,1,3,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
91,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,0,1,3,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
92,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,1,1,4,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
93,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,1,1,1,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
13420,1515287,1329551,1,2,1,100,0,0,1,44,2,2001,9,0,0,1,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
20795,1510573,1329655,1,2,0,110,1,0,2,29,10,2006,4,0,0,3,Assistance,lon,lat,0.9762960071199335,-0.21643961393810257
20796,1510573,1329655,1,2,0,110,1,0,2,29,6,2017,4,0,0,3,Assistance,lon,lat,0.9762960071199335,-0.21643961393810257
5250,1522968,1330766,1,2,0,100,0,0,5,3,1,2008,10,2,0,3,Assistance,lon,lat,0.9914448613738104,-0.1305261922200516
7471,1510700,1332819,1,2,0,110,1,1,7,24,2,1993,9,0,1,2,Assistance,lon,lat,-0.4226182617407,0.9063077870366497
5817,1510842,1333986,1,3,0,110,0,0,2,9,6,2006,5,0,0,4,Slight,lon,lat,0.8064446042674825,-0.5913096483635825
5818,1510842,1333986,1,3,0,110,0,0,2,9,5,2006,5,0,1,3,Assistance,lon,lat,0.8064446042674825,-0.5913096483635825
5819,1510842,1333986,1,3,0,110,0,0,2,9,5,2006,5,1,1,1,Slight,lon,lat,0.8064446042674825,-0.5913096483635825
5820,1510842,1333986,1,3,0,110,0,0,2,9,5,2006,5,1,0,1,Assistance,lon,lat,0.8064446042674825,-0.5913096483635825
4748,1509283,1334720,1,2,0,100,0,0,7,49,6,2008,1,0,0,3,Assistance,lon,lat,-0.859406411501453,0.5112930860770515
18929,1481863,1335353,1,2,1,80,0,0,3,2,5,1994,9,0,0,3,Slight,lon,lat,-0.9600498543859287,0.279829014030992
18930,1481863,1335353,1,2,1,80,0,0,3,2,5,1994,9,1,0,3,Assistance,lon,lat,-0.9600498543859287,0.279829014030992
3359,1517713,1336697,1,2,0,110,0,0,1,36,2,2010,9,0,1,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
6130,1517704,1336701,1,2,0,110,0,0,7,11,1,2003,5,2,0,3,Assistance,lon,lat,-0.9153114791194471,-0.40274668985873735
6131,1517704,1336701,1,2,0,110,0,0,7,11,1,1995,5,2,1,3,Assistance,lon,lat,-0.9153114791194471,-0.40274668985873735
418,1514668,1336811,6,2,0,100,0,0,1,6,2,2001,5,0,1,3,Slight,lon,lat,-0.7223639620597555,-0.6915130557822695
419,1514668,1336811,6,2,0,100,0,0,1,6,5,1998,5,0,0,3,Slight,lon,lat,-0.7223639620597555,-0.6915130557822695
1290,1514668,1336811,6,2,0,100,0,0,2,14,5,1997,6,0,0,2,Assistance,lon,lat,-0.9238795325112865,-0.38268343236509034
1291,1514668,1336811,6,2,0,100,0,0,2,14,7,2009,6,0,0,2,Assistance,lon,lat,-0.9238795325112865,-0.38268343236509034
1292,1514668,1336811,6,2,0,100,0,0,2,14,7,2009,6,1,0,2,Assistance,lon,lat,-0.9238795325112865,-0.38268343236509034
11367,1501604,1337526,1,2,0,100,1,0,7,16,2,2003,4,0,1,4,Assistance,lon,lat,0.06540312923014306,0.9978589232386035
5283,1510905,1338058,8,2,0,50,1,0,1,4,2,1996,9,0,0,3,Assistance,lon,lat,0.004363309284746571,0.9999904807207345
5284,1510905,1338058,8,2,0,50,1,0,1,4,2,1996,9,1,1,3,Assistance,lon,lat,0.004363309284746571,0.9999904807207345
10363,1516822,1338376,1,2,0,100,0,0,7,3,2,2011,9,0,1,4,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
14281,1485980,1338486,6,2,0,100,0,0,7,53,6,2006,6,0,0,4,Assistance,lon,lat,-0.9908658973868822,-0.13485093027372277
2933,1509440,1338560,1,4,0,40,1,0,5,31,6,2007,9,0,0,2,Assistance,lon,lat,-0.08280820751220476,0.9965655024977613
10697,1505923,1338707,1,2,0,100,1,0,1,8,6,XXXX,9,0,0,3,Assistance,lon,lat,0.41071885261347724,0.9117620435770886
9469,1511536,1339147,1,2,0,60,0,0,2,46,2,1997,7,0,1,4,Assistance,lon,lat,0.4733196671848435,-0.8808907382053855
9393,1511541,1339159,1,2,0,60,0,1,4,45,2,1999,7,0,1,4,Slight,lon,lat,0.5299192642332049,-0.848048096156426
9469,1511536,1339147,1,2,0,60,0,0,2,46,2,1997,7,0,1,4,Assistance,lon,lat,0.4733196671848435,-0.8808907382053855
1131,1512301,1339185,8,2,0,60,0,0,5,12,5,2005,6,0,1,3,Slight,lon,lat,-0.9537169507482269,-0.30070579950427295
12199,1512301,1339185,8,2,0,60,0,0,3,29,5,1999,6,0,0,3,Slight,lon,lat,0.6755902076156604,-0.737277336810124
12200,1512301,1339185,8,2,0,60,0,0,3,29,5,1999,6,1,1,3,Slight,lon,lat,0.6755902076156604,-0.737277336810124
19348,1512301,1339185,8,2,0,60,0,0,6,8,2,1971,6,0,0,4,Assistance,lon,lat,0.6156614753256584,-0.7880107536067219
19349,1512301,1339185,8,2,0,60,0,0,6,8,2,1971,6,1,1,3,Slight,lon,lat,0.6156614753256584,-0.7880107536067219
15351,1516010,1339405,8,2,1,100,1,0,5,11,5,1997,9,0,0,3,Assistance,lon,lat,0.8660254037844386,0.5000000000000001
8244,1510124,1339920,1,2,0,50,0,0,4,33,2,2013,11,0,1,3,Assistance,lon,lat,-0.10886687485196476,-0.9940563382223196
19864,1510511,1340007,6,2,0,50,0,0,6,15,1,2006,6,2,0,3,Assistance,lon,lat,-0.0348994967025009,-0.9993908270190958
18434,1509566,1340181,1,2,0,50,0,0,2,48,1,2013,6,2,1,3,Assistance,lon,lat,-0.9713420698132613,-0.23768589232617343
15704,1505985,1340223,1,4,0,80,1,0,7,15,6,2007,9,0,0,2,Slight,lon,lat,-0.8433914458128862,0.5372996083468231
15705,1505985,1340223,1,4,0,80,1,0,7,15,6,2007,9,1,0,1,Slight,lon,lat,-0.8433914458128862,0.5372996083468231
15706,1505985,1340223,1,4,0,80,1,0,7,15,6,2007,9,1,0,1,Assistance,lon,lat,-0.8433914458128862,0.5372996083468231
9023,1510778,1340230,8,2,0,60,0,0,6,41,2,2004,6,0,1,3,Assistance,lon,lat,-0.9855560590580776,-0.16934950384902486
1324,1509504,1340346,8,1,0,50,0,0,5,14,1,1983,1,2,0,3,Slight,lon,lat,-3.216245299353273e-16,-1.0
