,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
19087,1521715,1318434,1,2,0,110,1,0,2,8,12,2007,4,0,0,3,Assistance,lon,lat,0.8090169943749473,0.5877852522924732
20420,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,0,1,3,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20421,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,1,1,1,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20422,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,1,0,1,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20423,1521097,1318958,6,2,0,110,0,0,5,26,5,2021,6,1,0,3,Assistance,lon,lat,-0.13052619222005177,-0.9914448613738104
20424,1521097,1318958,6,2,0,110,0,0,5,26,12,2015,6,0,0,3,Slight,lon,lat,-0.13052619222005177,-0.9914448613738104
7926,1501821,1321838,1,1,1,50,0,0,1,31,1,2009,12,2,0,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
14040,1510370,1322670,8,2,1,100,0,0,6,52,2,2006,9,0,0,3,Assistance,lon,lat,-0.32556815445715676,-0.9455185755993167
9,1511879,1326556,1,2,0,110,0,0,1,1,6,1998,9,0,1,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
89,1504113,1329441,6,2,0,110,0,0,2,2,5,2015,6,1,1,1,Slight,lon,lat,-0.9914448613738104,-0.13052619222005163
90,1504113,1329441,6,2,0,110,0,0,2,2,5,2015,6,1,1,3,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
91,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,0,1,3,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
92,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,1,1,4,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
