,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
48554,399980,276330,4,1,2,1,30,1,1,2,40,3,8,2,1,1,4,Assistance,-2.00173,52.384969
18149,399970,276350,4,1,2,1,30,1,1,5,17,7,10,4,1,1,1,Assistance,-2.001877,52.385149
18150,399970,276350,4,1,2,1,30,1,1,5,17,7,8,2,1,1,1,Assistance,-2.001877,52.385149
18947,399970,276350,4,1,2,2,40,1,2,3,40,9,11,4,1,1,4,Slight,-2.001877,52.385149
18948,399970,276350,4,1,2,2,40,1,2,3,40,9,5,2,1,1,4,Slight,-2.001877,52.385149
18949,399970,276350,4,1,2,2,40,1,2,3,40,9,11,4,1,1,3,Slight,-2.001877,52.385149
18950,399970,276350,4,1,2,2,40,1,2,3,40,9,5,2,1,1,3,Slight,-2.001877,52.385149
25337,399970,276350,4,2,2,2,40,3,2,6,11,9,4,4,1,2,2,Slight,-2.001877,52.385149
25338,399970,276350,4,2,2,2,40,3,2,6,11,9,17,2,1,2,2,Slight,-2.001877,52.385149
38892,399970,276350,4,2,2,2,40,3,8,5,49,9,9,2,1,1,2,Slight,-2.001877,52.385149
38893,399970,276350,4,2,2,2,40,3,8,5,49,9,1,3,1,1,2,Slight,-2.001877,52.385149
10384,400030,276440,4,2,2,2,40,3,1,4,10,9,14,2,1,1,2,Assistance,-2.000996,52.385958
10385,400030,276440,4,2,2,2,40,3,1,4,10,9,14,2,2,1,2,Assistance,-2.000996,52.385958
10387,400040,276450,4,2,2,2,40,3,1,1,11,9,3,3,1,1,3,Assistance,-2.000849,52.386048
10256,400030,276470,4,1,2,2,40,3,8,2,6,7,10,2,1,1,3,Assistance,-2.000996,52.386227
10257,400030,276470,4,1,2,2,40,3,8,2,6,7,3,1,1,1,3,Assistance,-2.000996,52.386227
25128,400070,276510,6,1,1,4,40,3,1,7,7,9,16,4,1,1,2,Assistance,-2.000408,52.386587
25129,400070,276510,6,1,1,4,40,3,1,7,7,9,16,4,2,2,1,Assistance,-2.000408,52.386587
74368,399769,276518,6,2,2,1,30,1,1,3,17,4,3,1,1,1,1,Assistance,-2.00481,52.386704
74369,399769,276518,6,2,2,1,30,1,1,3,17,4,7,2,1,1,1,Assistance,-2.00481,52.386704
48783,399720,276580,6,2,2,2,30,3,2,3,51,9,9,5,2,1,2,Assistance,-2.005551,52.387216
48784,399720,276580,6,2,2,2,30,3,2,3,51,9,5,5,2,1,2,Assistance,-2.005551,52.387216
43856,401410,276630,4,1,2,2,30,1,1,2,52,7,10,4,1,1,3,Assistance,-1.980719,52.387664
43857,401410,276630,4,1,2,2,30,1,1,2,52,7,13,2,1,1,3,Assistance,-1.980719,52.387664
68463,401338,276639,6,1,2,1,30,3,1,4,10,9,7,5,1,1,2,Assistance,-1.981777,52.387746
68464,401338,276639,6,1,2,1,30,3,1,4,10,9,7,5,2,2,2,Assistance,-1.981777,52.387746
68465,401338,276639,6,1,2,1,30,3,1,4,10,9,7,5,1,1,3,Slight,-1.981777,52.387746
3244,400200,276660,6,2,2,2,40,3,1,4,7,4,6,2,1,1,1,Slight,-1.998498,52.387936
18537,400200,276650,4,1,2,1,40,1,1,3,29,7,10,5,1,1,3,Assistance,-1.998498,52.387846
18538,400200,276650,4,1,2,1,40,1,1,3,29,7,3,2,1,1,3,Assistance,-1.998498,52.387846
43783,400150,276700,6,1,1,2,30,1,2,5,52,2,4,2,3,1,3,Assistance,-1.999233,52.388295
33856,400260,276740,4,1,2,2,40,3,1,7,52,3,5,1,1,1,1,Assistance,-1.997616,52.388655
4487,400050,276800,6,1,2,1,30,1,1,7,41,9,11,2,1,2,3,Slight,-2.000702,52.389194
4820,400040,276810,6,1,1,2,30,3,5,5,48,2,2,2,3,2,4,Assistance,-2.000849,52.389284
38929,400350,276820,4,1,2,2,40,1,1,5,52,9,8,4,1,1,3,Assistance,-1.996294,52.389374
38930,400350,276820,4,1,2,2,40,1,1,5,52,9,12,2,1,1,3,Assistance,-1.996294,52.389374
48359,402740,276850,4,2,2,2,30,1,2,1,24,9,12,5,1,1,2,Assistance,-1.961174,52.389637
48360,402740,276850,4,2,2,2,30,1,2,1,24,9,5,2,1,1,2,Assistance,-1.961174,52.389637
48361,402740,276850,4,2,2,2,30,1,2,1,24,9,12,5,2,1,2,Slight,-1.961174,52.389637
48362,402740,276850,4,2,2,2,30,1,2,1,24,9,5,2,2,1,2,Slight,-1.961174,52.389637
48363,402740,276850,4,2,2,2,30,1,2,1,24,9,12,5,1,2,3,Slight,-1.961174,52.389637
48364,402740,276850,4,2,2,2,30,1,2,1,24,9,5,2,1,2,3,Slight,-1.961174,52.389637
48365,402740,276850,4,2,2,2,30,1,2,1,24,9,12,5,2,2,3,Slight,-1.961174,52.389637
48366,402740,276850,4,2,2,2,30,1,2,1,24,9,5,2,2,2,3,Slight,-1.961174,52.389637
48367,402740,276850,4,2,2,2,30,1,2,1,24,9,12,5,2,2,1,Slight,-1.961174,52.389637
48368,402740,276850,4,2,2,2,30,1,2,1,24,9,5,2,2,2,1,Slight,-1.961174,52.389637
18636,399990,276860,6,1,3,1,30,1,1,7,30,5,9,2,1,1,1,Assistance,-2.001584,52.389734
18637,399990,276860,6,1,3,1,30,1,1,7,30,5,10,4,1,1,1,Assistance,-2.001584,52.389734
63518,399980,276860,6,1,1,1,30,1,1,2,7,2,15,2,3,2,1,Assistance,-2.001719,52.389765
25541,401520,276990,6,1,2,1,30,1,1,7,18,9,7,4,1,1,3,Slight,-1.979101,52.390901
25542,401520,276990,6,1,2,1,30,1,1,7,18,9,7,4,2,2,3,Slight,-1.979101,52.390901
25543,401520,276990,6,1,2,1,30,1,1,7,18,9,7,4,2,2,4,Slight,-1.979101,52.390901
26852,401520,276990,6,1,2,2,30,3,2,2,51,9,13,2,1,2,2,Slight,-1.979101,52.390901
26853,401520,276990,6,1,2,2,30,3,2,2,51,9,2,2,1,2,2,Slight,-1.979101,52.390901
26854,401520,276990,6,1,2,2,30,3,2,2,51,9,13,2,1,2,3,Slight,-1.979101,52.390901
26855,401520,276990,6,1,2,2,30,3,2,2,51,9,2,2,1,2,3,Slight,-1.979101,52.390901
43218,401520,276990,6,2,2,2,30,3,2,5,25,9,10,5,1,1,3,Slight,-1.979101,52.390901
43219,401520,276990,6,2,2,2,30,3,2,5,25,9,13,2,1,1,3,Slight,-1.979101,52.390901
57708,401520,276990,6,1,2,1,30,1,1,5,30,9,10,2,1,1,4,Slight,-1.979101,52.390901
57709,401520,276990,6,1,2,1,30,1,1,5,30,9,12,4,1,1,4,Slight,-1.979101,52.390901
64344,401520,276990,6,2,2,1,30,3,1,6,39,5,7,2,1,1,1,Slight,-1.97909,52.390932
64345,401520,276990,6,2,2,1,30,3,1,6,39,5,14,4,1,1,1,Slight,-1.97909,52.390932
85206,401521,276989,6,2,2,1,30,1,1,7,31,3,4,2,1,1,2,Assistance,-1.979067,52.390938
64240,403980,277060,6,1,2,1,30,1,1,6,38,5,2,2,1,1,1,Assistance,-1.94294,52.39155
64241,403980,277060,6,1,2,1,30,1,1,6,38,5,5,4,1,1,1,Assistance,-1.94294,52.39155
64242,403980,277060,6,1,2,1,30,1,1,6,38,5,2,2,2,1,2,Assistance,-1.94294,52.39155
64243,403980,277060,6,1,2,1,30,1,1,6,38,5,5,4,2,1,2,Assistance,-1.94294,52.39155
4079,402850,277090,6,2,1,1,30,1,1,1,30,2,5,2,3,2,1,Assistance,-1.959556,52.391794
86305,399430,277111,6,1,1,1,30,1,1,4,40,2,8,5,3,1,1,Assistance,-2.009792,52.392035
47992,400590,277130,4,1,1,1,30,1,1,3,13,9,1,2,1,1,3,Assistance,-1.992767,52.392161
73105,400590,277133,4,1,2,1,30,1,1,7,4,3,15,2,1,1,3,Slight,-1.992747,52.392234
79456,399377,277201,6,1,2,1,30,1,1,6,15,5,5,2,1,1,3,Assistance,-2.010571,52.392844
79457,399377,277201,6,1,2,1,30,1,1,6,15,5,11,3,1,1,3,Assistance,-2.010571,52.392844
10400,399290,277220,6,2,1,1,30,4,1,6,9,2,10,2,3,2,1,Assistance,-2.011871,52.39297
43319,399290,277220,6,1,2,1,30,1,1,7,24,9,5,2,2,1,1,Slight,-2.011871,52.39297
4055,402310,277260,4,2,2,1,30,1,1,5,29,3,3,4,1,1,3,Assistance,-1.96749,52.393325
4465,402310,277270,4,1,2,1,30,1,8,3,40,9,8,2,1,1,2,Slight,-1.96749,52.393415
4466,402310,277270,4,1,2,1,30,1,8,3,40,9,5,5,1,1,2,Slight,-1.96749,52.393415
4467,402310,277270,4,1,2,1,30,1,8,3,40,9,8,2,2,1,1,Slight,-1.96749,52.393415
4468,402310,277270,4,1,2,1,30,1,8,3,40,9,5,5,2,1,1,Slight,-1.96749,52.393415
4898,402310,277260,4,1,2,2,30,1,1,3,52,9,2,4,1,2,3,Slight,-1.96749,52.393325
4899,402310,277260,4,1,2,2,30,1,1,3,52,9,6,2,1,2,3,Slight,-1.96749,52.393325
26375,402310,277270,4,2,2,1,30,1,1,3,39,3,2,2,1,1,3,Slight,-1.96749,52.393415
38185,402310,277270,4,1,2,1,30,1,1,2,21,9,0,2,1,1,4,Slight,-1.96749,52.393415
38186,402310,277270,4,1,2,1,30,1,1,2,21,9,11,5,1,1,4,Slight,-1.96749,52.393415
38628,402310,277260,4,1,2,1,30,1,1,7,38,9,2,2,2,1,3,Slight,-1.96749,52.393325
38629,402310,277260,4,1,2,1,30,1,1,7,38,9,11,5,2,1,3,Slight,-1.96749,52.393325
43796,402310,277270,4,2,2,2,30,3,8,7,47,10,8,2,1,1,3,Slight,-1.96749,52.393415
43797,402310,277270,4,2,2,2,30,3,8,7,47,10,5,5,1,1,3,Slight,-1.96749,52.393415
48014,402310,277270,4,1,2,1,30,1,1,1,16,9,2,4,2,2,1,Slight,-1.96749,52.393415
48015,402310,277270,4,1,2,1,30,1,1,1,16,9,11,2,2,2,1,Slight,-1.96749,52.393415
63947,402310,277270,4,1,2,1,30,1,1,6,26,7,1,5,1,1,3,Slight,-1.967479,52.393447
63948,402310,277270,4,1,2,1,30,1,1,6,26,7,14,2,1,1,3,Slight,-1.967479,52.393447
63982,402310,277270,4,2,2,1,30,1,1,3,23,7,1,2,1,1,3,Slight,-1.967479,52.393447
63983,402310,277270,4,2,2,1,30,1,1,3,23,7,5,5,1,1,3,Slight,-1.967479,52.393447
73184,402307,277259,4,1,2,2,30,1,1,1,5,9,15,5,1,2,3,Slight,-1.967515,52.393363
73185,402307,277259,4,1,2,2,30,1,1,1,5,9,12,2,1,2,3,Slight,-1.967515,52.393363
85462,402308,277259,6,2,2,1,30,1,1,5,29,9,13,4,1,1,3,Slight,-1.967501,52.393363
85463,402308,277259,6,2,2,1,30,1,1,5,29,9,17,2,1,1,3,Slight,-1.967501,52.393363
63475,403310,277300,6,2,1,2,30,3,1,6,5,2,4,2,3,1,4,Assistance,-1.952784,52.393712
48312,400330,277330,6,1,2,2,30,1,1,4,27,20,12,2,1,1,3,Assistance,-1.996587,52.393959
33118,401950,277350,6,1,1,1,30,1,1,2,36,7,3,2,1,1,3,Assistance,-1.97278,52.394136
4384,401790,277390,6,2,2,2,30,3,5,3,39,9,3,2,1,1,3,Slight,-1.975131,52.394496
4385,401790,277390,6,2,2,2,30,3,5,3,39,9,7,3,1,1,3,Slight,-1.975131,52.394496
25420,401790,277390,6,2,1,2,30,3,2,6,11,2,10,2,3,2,1,Assistance,-1.975131,52.394496
57142,401790,277390,6,2,2,1,30,3,1,5,1,9,12,2,1,1,3,Slight,-1.975132,52.394496
57143,401790,277390,6,2,2,1,30,3,1,5,1,9,3,2,1,1,3,Slight,-1.975132,52.394496
72539,401785,277390,6,1,1,1,30,1,1,7,43,2,14,5,3,1,1,Slight,-1.975205,52.394496
84827,400123,277432,6,1,1,2,30,1,1,3,10,2,9,5,3,1,1,Assistance,-1.999609,52.394922
84827,400123,277432,6,1,1,2,30,1,1,3,10,2,9,5,3,1,1,Assistance,-1.999609,52.394922
42811,400740,277460,3,1,1,1,40,1,1,7,4,7,1,2,1,1,3,Assistance,-1.990562,52.395127
69448,399221,277468,6,1,2,1,30,1,1,5,20,9,7,2,1,1,3,Slight,-2.012886,52.3952
69449,399221,277468,6,1,2,1,30,1,1,5,20,9,14,2,1,1,3,Slight,-2.012886,52.3952
69450,399221,277468,6,1,2,1,30,1,1,5,20,7,7,2,1,1,3,Assistance,-2.012886,52.3952
69451,399221,277468,6,1,2,1,30,1,1,5,20,7,14,2,1,1,3,Assistance,-2.012886,52.3952
69452,399221,277468,6,1,2,1,30,1,1,5,20,7,7,2,2,1,2,Assistance,-2.012886,52.3952
69453,399221,277468,6,1,2,1,30,1,1,5,20,7,14,2,2,1,2,Assistance,-2.012886,52.3952
32282,400650,277480,3,1,2,1,40,1,1,7,15,7,11,2,1,1,3,Assistance,-1.991884,52.395307
32283,400650,277480,3,1,2,1,40,1,1,7,15,7,9,2,1,1,3,Assistance,-1.991884,52.395307
84647,399225,277498,6,1,2,1,30,1,1,6,25,3,9,2,1,1,3,Assistance,-2.012806,52.395514
52761,400060,277530,3,2,2,2,30,3,2,4,26,7,12,2,1,1,3,Assistance,-2.000556,52.395758
83090,400027,277534,6,2,2,1,40,1,1,3,34,7,1,3,1,1,3,Assistance,-2.00102,52.395839
83091,400027,277534,6,2,2,1,40,1,1,3,34,7,14,2,1,1,3,Assistance,-2.00102,52.395839
83090,400027,277534,6,2,2,1,40,1,1,3,34,7,1,3,1,1,3,Assistance,-2.00102,52.395839
83091,400027,277534,6,2,2,1,40,1,1,3,34,7,14,2,1,1,3,Assistance,-2.00102,52.395839
57435,400130,277550,3,1,2,1,40,1,1,2,18,3,9,3,1,1,3,Assistance,-1.999527,52.395937
52431,401380,277570,6,1,1,1,30,1,1,2,6,2,13,2,3,1,2,Slight,-1.981156,52.396116
52964,401380,277570,6,1,1,1,30,1,1,3,34,2,8,2,3,1,3,Assistance,-1.981156,52.396116
57985,401380,277570,6,2,2,2,30,3,1,5,48,5,9,2,1,1,3,Assistance,-1.981156,52.396116
67821,398976,277586,6,1,2,1,30,1,8,4,4,9,11,5,1,2,3,Assistance,-2.016487,52.39626
67822,398976,277586,6,1,2,1,30,1,8,4,4,9,17,2,1,2,3,Assistance,-2.016487,52.39626
25843,403460,277600,3,1,2,1,30,1,1,5,24,7,4,1,1,1,3,Assistance,-1.950587,52.396376
25844,403460,277600,3,1,2,1,30,1,1,5,24,7,2,1,1,1,3,Assistance,-1.950587,52.396376
25845,403460,277600,3,1,2,1,30,1,1,5,24,7,4,1,2,2,1,Assistance,-1.950587,52.396376
25846,403460,277600,3,1,2,1,30,1,1,5,24,7,2,1,2,2,1,Assistance,-1.950587,52.396376
19328,401150,277630,6,1,1,1,30,1,1,4,48,2,4,2,3,1,1,Assistance,-1.984536,52.396655
3015,400960,277650,3,1,2,1,40,1,1,1,4,13,4,4,1,1,2,Slight,-1.987328,52.396835
3016,400960,277650,3,1,2,1,40,1,1,1,4,13,7,4,1,1,2,Slight,-1.987328,52.396835
3017,400960,277650,3,1,2,1,40,1,1,1,4,15,4,4,1,1,3,Slight,-1.987328,52.396835
3018,400960,277650,3,1,2,1,40,1,1,1,4,15,7,4,1,1,3,Slight,-1.987328,52.396835
4155,400960,277650,3,2,2,1,40,3,1,7,32,8,6,2,1,1,3,Slight,-1.987328,52.396835
4156,400960,277650,3,2,2,1,40,3,1,7,32,8,11,5,1,1,3,Slight,-1.987328,52.396835
4157,400960,277650,3,2,2,1,40,3,1,7,32,9,6,2,2,2,2,Assistance,-1.987328,52.396835
4158,400960,277650,3,2,2,1,40,3,1,7,32,9,11,5,2,2,2,Assistance,-1.987328,52.396835
87936,400959,277644,3,2,2,2,40,3,1,5,51,7,12,4,1,1,3,Assistance,-1.987323,52.396827
87937,400959,277644,3,2,2,2,40,3,1,5,51,7,8,2,1,1,3,Assistance,-1.987323,52.396827
87938,400959,277644,3,2,2,2,40,3,1,5,51,9,12,4,1,1,3,Slight,-1.987323,52.396827
87939,400959,277644,3,2,2,2,40,3,1,5,51,9,8,2,1,1,3,Slight,-1.987323,52.396827
3015,400960,277650,3,1,2,1,40,1,1,1,4,13,4,4,1,1,2,Slight,-1.987328,52.396835
3016,400960,277650,3,1,2,1,40,1,1,1,4,13,7,4,1,1,2,Slight,-1.987328,52.396835
