,Casualty Severity
0,Slight
1,Assistance
2,Slight
3,Assistance
4,Slight
5,Slight
6,Slight
7,Slight
8,Slight
9,Slight
10,Assistance
11,Slight
12,Slight
13,Assistance
14,Assistance
15,Assistance
16,Slight
17,Slight
18,Assistance
19,Slight
20,Assistance
21,Slight
22,Slight
23,Assistance
24,Slight
25,Slight
26,Slight
27,Slight
28,Slight
29,Slight
30,Slight
31,Slight
32,Slight
33,Assistance
34,Slight
35,Slight
36,Slight
37,Slight
38,Slight
39,Slight
40,Slight
41,Slight
42,Assistance
43,Slight
44,Assistance
45,Slight
46,Assistance
47,Slight
48,Slight
49,Assistance
50,Assistance
51,Slight
52,Slight
53,Assistance
54,Slight
55,Slight
56,Assistance
57,Assistance
58,Slight
59,Slight
60,Assistance
61,Slight
62,Slight
63,Slight
64,Slight
65,Assistance
66,Assistance
67,Slight
68,Assistance
69,Slight
70,Assistance
71,Assistance
72,Assistance
73,Slight
74,Slight
75,Assistance
76,Slight
77,Slight
78,Slight
79,Slight
80,Assistance
81,Slight
82,Assistance
83,Slight
84,Assistance
85,Assistance
86,Slight
87,Assistance
88,Slight
89,Slight
90,Slight
91,Slight
92,Slight
93,Slight
94,Slight
95,Slight
96,Assistance
97,Assistance
98,Slight
99,Assistance
100,Assistance
101,Slight
102,Slight
103,Slight
104,Slight
105,Slight
106,Assistance
107,Slight
108,Assistance
109,Assistance
110,Slight
111,Slight
112,Assistance
113,Slight
114,Assistance
115,Slight
116,Slight
117,Slight
118,Slight
119,Slight
120,Slight
121,Slight
122,Slight
123,Slight
124,Assistance
125,Slight
126,Slight
127,Slight
128,Slight
129,Slight
130,Slight
131,Assistance
132,Slight
133,Slight
134,Assistance
135,Slight
136,Slight
137,Slight
138,Slight
139,Assistance
140,Slight
141,Slight
142,Slight
143,Slight
144,Assistance
145,Slight
146,Assistance
147,Assistance
148,Slight
149,Slight
150,Assistance
151,Assistance
152,Slight
153,Slight
154,Slight
155,Slight
156,Slight
157,Assistance
158,Slight
159,Slight
160,Slight
161,Assistance
162,Assistance
163,Slight
164,Assistance
165,Assistance
166,Slight
167,Slight
168,Assistance
169,Slight
170,Slight
171,Slight
172,Assistance
173,Assistance
174,Assistance
175,Assistance
176,Slight
177,Slight
178,Slight
179,Slight
180,Slight
181,Assistance
182,Assistance
183,Slight
184,Assistance
185,Slight
186,Slight
187,Slight
188,Assistance
189,Assistance
190,Slight
191,Slight
192,Assistance
193,Assistance
194,Assistance
195,Slight
196,Slight
197,Assistance
198,Slight
199,Slight
200,Slight
201,Assistance
202,Slight
203,Assistance
204,Slight
205,Slight
206,Slight
207,Slight
208,Slight
209,Slight
210,Slight
211,Slight
212,Slight
213,Assistance
214,Slight
215,Slight
216,Assistance
217,Assistance
218,Slight
219,Slight
220,Slight
221,Slight
222,Assistance
223,Slight
224,Slight
225,Slight
226,Assistance
227,Slight
228,Slight
229,Assistance
230,Slight
231,Assistance
232,Slight
233,Slight
234,Assistance
235,Slight
236,Assistance
237,Assistance
238,Assistance
239,Slight
240,Assistance
241,Slight
242,Assistance
243,Slight
244,Assistance
245,Slight
246,Assistance
247,Slight
248,Slight
249,Slight
250,Assistance
251,Slight
252,Slight
253,Slight
254,Assistance
255,Slight
256,Slight
257,Slight
258,Slight
259,Slight
260,Slight
261,Slight
262,Slight
263,Assistance
264,Slight
265,Slight
266,Slight
267,Slight
268,Slight
269,Assistance
270,Slight
271,Slight
272,Slight
273,Slight
274,Slight
275,Slight
276,Slight
277,Slight
278,Assistance
279,Slight
280,Slight
281,Slight
282,Slight
283,Slight
284,Slight
285,Slight
286,Assistance
287,Slight
288,Assistance
289,Assistance
290,Slight
291,Slight
292,Slight
293,Slight
294,Slight
295,Assistance
296,Slight
297,Slight
298,Slight
299,Slight
300,Assistance
301,Slight
302,Slight
303,Slight
304,Slight
305,Slight
306,Slight
307,Slight
308,Assistance
309,Slight
310,Assistance
311,Slight
312,Slight
313,Slight
314,Slight
315,Slight
316,Assistance
317,Slight
318,Slight
319,Assistance
320,Slight
321,Slight
322,Slight
323,Slight
324,Slight
325,Assistance
326,Slight
327,Slight
328,Slight
329,Assistance
330,Slight
331,Assistance
332,Assistance
333,Slight
334,Assistance
335,Slight
336,Slight
337,Slight
338,Slight
339,Slight
340,Slight
341,Assistance
342,Slight
343,Slight
344,Slight
345,Slight
346,Assistance
347,Assistance
348,Assistance
349,Assistance
350,Assistance
351,Assistance
352,Slight
353,Slight
354,Slight
355,Slight
356,Slight
357,Slight
358,Slight
359,Slight
360,Assistance
361,Assistance
362,Assistance
363,Slight
364,Slight
365,Slight
366,Slight
367,Slight
368,Assistance
369,Slight
370,Slight
371,Slight
372,Slight
373,Slight
374,Slight
375,Slight
376,Assistance
377,Slight
378,Slight
379,Slight
380,Slight
381,Slight
382,Slight
383,Assistance
384,Assistance
385,Slight
386,Slight
387,Slight
388,Slight
389,Slight
390,Slight
391,Assistance
392,Slight
393,Assistance
394,Slight
395,Slight
396,Assistance
397,Slight
398,Slight
399,Assistance
400,Slight
401,Slight
402,Assistance
403,Assistance
404,Assistance
405,Slight
406,Assistance
407,Slight
408,Assistance
409,Assistance
410,Slight
411,Slight
412,Slight
413,Assistance
414,Slight
415,Slight
416,Slight
417,Slight
418,Slight
419,Slight
420,Slight
421,Slight
422,Slight
423,Slight
424,Slight
425,Assistance
426,Slight
427,Slight
428,Slight
429,Assistance
430,Slight
431,Assistance
432,Slight
433,Slight
434,Slight
435,Slight
436,Slight
437,Slight
438,Assistance
439,Slight
440,Slight
441,Assistance
442,Assistance
443,Slight
444,Slight
445,Slight
446,Slight
447,Slight
448,Slight
449,Slight
450,Assistance
451,Assistance
452,Assistance
453,Slight
454,Slight
455,Slight
456,Slight
457,Slight
458,Slight
459,Slight
460,Assistance
461,Slight
462,Slight
463,Slight
464,Slight
465,Slight
466,Slight
467,Assistance
468,Slight
469,Slight
470,Assistance
471,Slight
472,Assistance
473,Slight
474,Slight
475,Slight
476,Assistance
477,Slight
478,Assistance
479,Slight
480,Slight
481,Assistance
482,Assistance
483,Assistance
484,Slight
485,Slight
486,Slight
487,Assistance
488,Slight
489,Assistance
490,Slight
491,Slight
492,Assistance
493,Assistance
494,Assistance
495,Slight
496,Slight
497,Slight
498,Assistance
499,Slight
500,Slight
501,Slight
502,Assistance
503,Assistance
504,Assistance
505,Slight
506,Slight
507,Assistance
508,Assistance
509,Slight
510,Slight
511,Slight
512,Assistance
513,Slight
514,Slight
515,Slight
516,Slight
517,Slight
518,Assistance
519,Assistance
520,Slight
521,Slight
522,Assistance
523,Assistance
524,Slight
525,Slight
526,Slight
527,Assistance
528,Assistance
529,Assistance
530,Slight
531,Slight
532,Slight
533,Slight
534,Slight
535,Slight
536,Slight
537,Assistance
538,Slight
539,Slight
540,Slight
541,Slight
542,Slight
543,Assistance
544,Assistance
545,Assistance
546,Slight
547,Slight
548,Assistance
549,Slight
550,Slight
551,Slight
552,Slight
553,Slight
554,Slight
555,Slight
556,Slight
557,Slight
558,Slight
559,Assistance
560,Slight
561,Slight
562,Slight
563,Slight
564,Assistance
565,Assistance
566,Assistance
567,Slight
568,Slight
569,Assistance
570,Assistance
571,Assistance
572,Slight
573,Slight
574,Assistance
575,Assistance
576,Assistance
577,Assistance
578,Slight
579,Slight
580,Assistance
581,Slight
582,Slight
583,Slight
584,Slight
585,Assistance
586,Slight
587,Assistance
588,Slight
589,Assistance
590,Assistance
591,Slight
592,Slight
593,Slight
594,Assistance
595,Slight
596,Assistance
597,Slight
598,Slight
599,Slight
600,Slight
601,Slight
602,Slight
603,Slight
604,Assistance
605,Slight
606,Slight
607,Assistance
608,Slight
609,Slight
610,Assistance
611,Assistance
612,Assistance
613,Slight
614,Assistance
615,Slight
616,Slight
617,Slight
618,Slight
619,Slight
620,Slight
621,Assistance
622,Assistance
623,Assistance
624,Slight
625,Slight
626,Slight
627,Slight
628,Assistance
629,Slight
630,Slight
631,Assistance
632,Slight
633,Assistance
634,Slight
635,Slight
636,Slight
637,Assistance
638,Slight
639,Assistance
640,Assistance
641,Slight
642,Assistance
643,Slight
644,Assistance
645,Slight
646,Assistance
647,Slight
648,Slight
649,Slight
650,Slight
651,Assistance
652,Slight
653,Slight
654,Slight
655,Slight
656,Assistance
657,Slight
658,Slight
659,Slight
660,Slight
661,Slight
662,Assistance
663,Slight
664,Assistance
665,Slight
666,Assistance
667,Slight
668,Slight
669,Slight
670,Slight
671,Slight
672,Slight
673,Assistance
674,Assistance
675,Assistance
676,Slight
677,Assistance
678,Slight
679,Assistance
680,Assistance
681,Slight
682,Assistance
683,Slight
684,Slight
685,Assistance
686,Assistance
687,Slight
688,Slight
689,Slight
690,Slight
691,Slight
692,Assistance
693,Slight
694,Slight
695,Assistance
696,Slight
697,Slight
698,Slight
699,Slight
700,Slight
701,Slight
702,Slight
703,Slight
704,Slight
705,Slight
706,Assistance
707,Slight
708,Assistance
709,Slight
710,Slight
711,Assistance
712,Slight
713,Slight
714,Slight
715,Slight
716,Slight
717,Assistance
718,Assistance
719,Slight
720,Slight
721,Slight
722,Slight
723,Slight
724,Assistance
725,Slight
726,Assistance
727,Slight
728,Slight
729,Assistance
730,Assistance
731,Slight
732,Slight
733,Assistance
734,Slight
735,Assistance
736,Slight
737,Slight
738,Assistance
739,Slight
740,Slight
741,Assistance
742,Assistance
743,Slight
744,Slight
745,Assistance
746,Assistance
747,Slight
748,Slight
749,Slight
750,Assistance
751,Slight
752,Slight
753,Slight
754,Assistance
755,Slight
756,Assistance
757,Slight
758,Slight
759,Slight
760,Slight
761,Slight
762,Slight
763,Slight
764,Slight
765,Assistance
766,Slight
767,Assistance
768,Assistance
769,Assistance
770,Slight
771,Assistance
772,Assistance
773,Slight
774,Slight
775,Slight
776,Slight
777,Slight
778,Slight
779,Slight
780,Assistance
781,Slight
782,Assistance
783,Slight
784,Slight
785,Slight
786,Assistance
787,Slight
788,Assistance
789,Slight
790,Slight
791,Slight
792,Assistance
793,Assistance
794,Assistance
795,Assistance
796,Assistance
797,Slight
798,Slight
799,Slight
800,Slight
801,Slight
802,Slight
803,Assistance
804,Slight
805,Slight
806,Slight
807,Assistance
808,Slight
809,Slight
810,Slight
811,Slight
812,Assistance
813,Slight
814,Assistance
815,Slight
816,Slight
817,Assistance
818,Slight
819,Slight
820,Assistance
821,Slight
822,Slight
823,Slight
824,Slight
825,Slight
826,Assistance
827,Slight
828,Assistance
829,Assistance
830,Slight
831,Assistance
832,Slight
833,Assistance
834,Slight
835,Slight
836,Assistance
837,Slight
838,Slight
839,Assistance
840,Assistance
841,Slight
842,Slight
843,Slight
844,Slight
845,Slight
846,Slight
847,Assistance
848,Slight
849,Slight
850,Slight
851,Slight
852,Slight
853,Assistance
854,Slight
855,Slight
856,Slight
857,Slight
858,Slight
859,Slight
860,Slight
861,Slight
862,Slight
863,Slight
864,Assistance
865,Assistance
866,Assistance
867,Assistance
868,Assistance
869,Slight
870,Slight
871,Slight
872,Slight
873,Slight
874,Slight
875,Assistance
876,Assistance
877,Assistance
878,Slight
879,Assistance
880,Assistance
881,Assistance
882,Assistance
883,Slight
884,Slight
885,Assistance
886,Assistance
887,Slight
888,Slight
889,Slight
890,Slight
891,Assistance
892,Slight
893,Slight
894,Slight
895,Slight
896,Slight
897,Slight
898,Slight
899,Slight
900,Assistance
901,Slight
902,Slight
903,Slight
904,Slight
905,Assistance
906,Slight
907,Assistance
908,Assistance
909,Assistance
910,Slight
911,Assistance
912,Assistance
913,Assistance
914,Assistance
915,Slight
916,Slight
917,Slight
918,Assistance
919,Slight
920,Assistance
921,Assistance
922,Slight
923,Assistance
924,Assistance
925,Slight
926,Slight
927,Slight
928,Assistance
929,Assistance
930,Slight
931,Slight
932,Assistance
933,Slight
934,Slight
935,Assistance
936,Slight
937,Slight
938,Assistance
939,Assistance
940,Slight
941,Assistance
942,Slight
943,Slight
944,Slight
945,Slight
946,Slight
947,Assistance
948,Assistance
949,Slight
950,Slight
951,Slight
952,Assistance
953,Assistance
954,Slight
955,Slight
956,Slight
957,Assistance
958,Slight
959,Assistance
960,Assistance
961,Slight
962,Slight
963,Assistance
964,Slight
965,Slight
966,Assistance
967,Assistance
968,Slight
969,Slight
970,Assistance
971,Slight
972,Assistance
973,Slight
974,Slight
975,Slight
976,Slight
977,Slight
978,Slight
979,Assistance
980,Assistance
981,Slight
982,Assistance
983,Assistance
984,Slight
985,Slight
986,Assistance
987,Slight
988,Slight
989,Slight
990,Assistance
991,Slight
992,Slight
993,Slight
994,Assistance
995,Slight
996,Slight
997,Assistance
998,Slight
999,Slight
1000,Slight
1001,Slight
1002,Slight
1003,Assistance
1004,Slight
1005,Assistance
1006,Slight
1007,Slight
1008,Slight
1009,Slight
1010,Slight
1011,Assistance
1012,Assistance
1013,Slight
1014,Assistance
1015,Slight
1016,Slight
1017,Assistance
1018,Assistance
1019,Slight
1020,Slight
1021,Slight
1022,Slight
1023,Slight
1024,Assistance
1025,Assistance
1026,Slight
1027,Slight
1028,Slight
1029,Assistance
1030,Slight
1031,Slight
1032,Slight
1033,Slight
1034,Slight
1035,Assistance
1036,Slight
1037,Slight
1038,Slight
1039,Assistance
1040,Assistance
1041,Assistance
1042,Assistance
1043,Slight
1044,Slight
1045,Slight
1046,Slight
1047,Slight
1048,Assistance
1049,Assistance
1050,Slight
1051,Assistance
1052,Slight
1053,Slight
1054,Assistance
1055,Slight
1056,Assistance
1057,Slight
1058,Assistance
1059,Slight
1060,Slight
1061,Slight
1062,Slight
1063,Assistance
1064,Assistance
1065,Slight
1066,Slight
1067,Assistance
1068,Slight
1069,Slight
1070,Slight
1071,Assistance
1072,Slight
1073,Assistance
1074,Assistance
1075,Slight
1076,Slight
1077,Slight
1078,Slight
1079,Slight
1080,Slight
1081,Slight
1082,Slight
1083,Slight
1084,Slight
1085,Assistance
1086,Assistance
1087,Slight
1088,Slight
1089,Slight
1090,Slight
1091,Slight
1092,Slight
1093,Assistance
1094,Slight
1095,Assistance
1096,Slight
1097,Slight
1098,Assistance
1099,Slight
1100,Slight
1101,Slight
1102,Slight
1103,Slight
1104,Slight
1105,Slight
1106,Slight
1107,Assistance
1108,Slight
1109,Slight
1110,Slight
1111,Slight
1112,Slight
1113,Slight
1114,Slight
1115,Slight
1116,Slight
1117,Slight
1118,Slight
1119,Assistance
1120,Slight
1121,Assistance
1122,Assistance
1123,Slight
1124,Assistance
1125,Slight
1126,Slight
1127,Assistance
1128,Assistance
1129,Slight
1130,Slight
1131,Slight
1132,Slight
1133,Slight
1134,Slight
1135,Assistance
1136,Slight
1137,Slight
1138,Slight
1139,Assistance
1140,Slight
1141,Slight
1142,Slight
1143,Slight
1144,Assistance
1145,Slight
1146,Assistance
1147,Slight
1148,Slight
1149,Slight
1150,Assistance
1151,Assistance
1152,Slight
1153,Slight
1154,Assistance
1155,Slight
1156,Slight
1157,Slight
1158,Slight
1159,Assistance
1160,Slight
1161,Assistance
1162,Slight
1163,Assistance
1164,Assistance
1165,Slight
1166,Slight
1167,Assistance
1168,Slight
1169,Slight
1170,Slight
1171,Slight
1172,Slight
1173,Assistance
1174,Slight
1175,Assistance
1176,Slight
1177,Slight
1178,Assistance
1179,Assistance
1180,Assistance
1181,Slight
1182,Slight
1183,Slight
1184,Assistance
1185,Slight
1186,Slight
1187,Assistance
1188,Slight
1189,Assistance
1190,Slight
1191,Slight
1192,Slight
1193,Slight
1194,Slight
1195,Slight
1196,Slight
1197,Assistance
1198,Slight
1199,Slight
1200,Assistance
1201,Assistance
1202,Slight
1203,Slight
1204,Slight
1205,Slight
1206,Slight
1207,Slight
1208,Slight
1209,Slight
1210,Slight
1211,Slight
1212,Assistance
1213,Assistance
1214,Slight
1215,Slight
1216,Slight
1217,Slight
1218,Slight
1219,Assistance
1220,Slight
1221,Slight
1222,Slight
1223,Assistance
1224,Slight
1225,Slight
1226,Slight
1227,Slight
1228,Slight
1229,Slight
1230,Assistance
1231,Slight
1232,Slight
1233,Assistance
1234,Assistance
1235,Slight
1236,Slight
1237,Slight
1238,Assistance
1239,Assistance
1240,Assistance
1241,Assistance
1242,Slight
1243,Slight
1244,Slight
1245,Assistance
1246,Slight
1247,Assistance
1248,Slight
1249,Slight
1250,Slight
1251,Assistance
1252,Assistance
1253,Slight
1254,Assistance
1255,Assistance
1256,Slight
1257,Slight
1258,Assistance
1259,Slight
1260,Assistance
1261,Assistance
1262,Slight
1263,Slight
1264,Slight
1265,Slight
1266,Assistance
1267,Slight
1268,Slight
1269,Slight
1270,Assistance
1271,Slight
1272,Slight
1273,Slight
1274,Assistance
1275,Slight
1276,Slight
1277,Assistance
1278,Slight
1279,Slight
1280,Slight
1281,Slight
1282,Slight
1283,Slight
1284,Assistance
1285,Slight
1286,Slight
1287,Slight
1288,Slight
1289,Slight
1290,Slight
1291,Assistance
1292,Assistance
1293,Assistance
1294,Slight
1295,Assistance
1296,Assistance
1297,Slight
1298,Slight
1299,Assistance
1300,Slight
1301,Slight
1302,Slight
1303,Assistance
1304,Slight
1305,Assistance
1306,Assistance
1307,Assistance
1308,Assistance
1309,Slight
1310,Assistance
1311,Slight
1312,Assistance
1313,Assistance
1314,Assistance
1315,Slight
1316,Assistance
1317,Assistance
1318,Slight
1319,Slight
1320,Slight
1321,Assistance
1322,Slight
1323,Slight
1324,Slight
1325,Slight
1326,Assistance
1327,Slight
1328,Slight
1329,Slight
1330,Slight
1331,Slight
1332,Slight
1333,Slight
1334,Slight
1335,Slight
1336,Slight
1337,Assistance
1338,Slight
1339,Assistance
1340,Slight
1341,Assistance
1342,Slight
1343,Assistance
1344,Slight
1345,Slight
1346,Slight
1347,Assistance
1348,Slight
1349,Slight
1350,Assistance
1351,Assistance
1352,Slight
1353,Slight
1354,Assistance
1355,Slight
1356,Slight
1357,Assistance
1358,Assistance
1359,Slight
1360,Assistance
1361,Assistance
1362,Slight
1363,Slight
1364,Assistance
1365,Slight
1366,Slight
1367,Slight
1368,Slight
1369,Slight
1370,Slight
1371,Slight
1372,Assistance
1373,Slight
1374,Slight
1375,Slight
1376,Slight
1377,Slight
1378,Slight
1379,Slight
