,Casualty Severity
24297,Slight
2086,Slight
11681,Slight
18684,Slight
20465,Slight
22498,Slight
18573,Slight
17049,Slight
3750,Slight
23159,Slight
4681,Slight
3426,Slight
3091,Slight
3748,Slight
16622,Slight
968,Slight
8897,Slight
12917,Slight
16285,Slight
27976,Slight
15624,Slight
24706,Slight
5077,Slight
19068,Slight
20841,Slight
23866,Slight
10086,Slight
7754,Slight
14381,Slight
6212,Slight
13692,Slight
7661,Slight
14071,Slight
3142,Slight
19962,Slight
5000,Slight
28934,Slight
15981,Slight
341,Slight
17981,Slight
6388,Slight
181,Slight
27508,Slight
9612,Slight
20839,Slight
11613,Slight
15931,Slight
18256,Slight
19064,Slight
20736,Slight
10148,Slight
26957,Slight
1581,Slight
3748,Slight
9242,Slight
24432,Slight
25542,Slight
9443,Slight
2110,Slight
827,Slight
13126,Slight
21557,Slight
3155,Slight
17361,Slight
26330,Slight
5570,Slight
13868,Slight
8595,Slight
835,Slight
27923,Slight
2157,Slight
1738,Slight
27432,Slight
14316,Slight
16070,Slight
15007,Slight
11837,Slight
14074,Slight
13707,Slight
1740,Slight
25723,Slight
22914,Slight
14010,Slight
11381,Slight
11850,Slight
15769,Slight
26423,Slight
25594,Slight
26790,Slight
23825,Slight
26006,Slight
9481,Slight
7799,Slight
754,Slight
6210,Slight
24856,Slight
10360,Slight
14663,Slight
6363,Slight
10147,Slight
28650,Slight
2157,Slight
11255,Slight
2769,Slight
22000,Slight
21931,Slight
19062,Slight
23825,Slight
24297,Slight
1368,Slight
6391,Slight
28241,Slight
26367,Slight
16818,Slight
15125,Slight
14834,Slight
22432,Slight
18533,Slight
7794,Slight
25970,Slight
27702,Slight
10580,Slight
16823,Slight
16620,Slight
23070,Slight
7990,Slight
15774,Slight
17675,Slight
14683,Slight
28942,Slight
14683,Slight
16343,Slight
11532,Slight
8457,Slight
3985,Slight
3154,Slight
11411,Slight
25317,Slight
10149,Slight
9752,Slight
25167,Slight
3142,Slight
27148,Slight
24426,Slight
23539,Slight
13028,Slight
2630,Slight
25667,Slight
26224,Slight
28650,Slight
29010,Slight
14679,Slight
15769,Slight
25989,Slight
828,Slight
8119,Slight
18573,Slight
9486,Slight
12794,Slight
2183,Slight
10415,Slight
4971,Slight
336,Slight
23160,Slight
10445,Slight
7670,Slight
13600,Slight
382,Slight
6955,Slight
15761,Slight
11972,Slight
9313,Slight
14670,Slight
26066,Slight
22347,Slight
26072,Slight
5117,Slight
6729,Slight
26573,Slight
26162,Slight
4317,Slight
13452,Slight
15932,Slight
25074,Slight
16425,Slight
12931,Slight
4852,Slight
10521,Slight
14381,Slight
22907,Slight
22603,Slight
23331,Slight
19388,Slight
6375,Slight
15932,Slight
6364,Slight
14980,Slight
10299,Slight
1377,Slight
11599,Slight
22231,Slight
22048,Slight
8297,Slight
2684,Slight
16819,Slight
15931,Slight
2049,Slight
25207,Slight
28932,Slight
14835,Slight
15762,Slight
11616,Slight
11138,Slight
8301,Slight
6262,Slight
1790,Slight
26071,Slight
2004,Slight
11498,Slight
14534,Slight
26391,Slight
21307,Slight
28878,Slight
10957,Slight
27687,Slight
13707,Slight
11610,Slight
7284,Slight
23029,Slight
16960,Slight
21330,Slight
4155,Slight
7662,Slight
14979,Slight
20736,Slight
7529,Slight
4980,Slight
20528,Slight
2560,Slight
17022,Slight
16350,Slight
16987,Slight
20688,Slight
17743,Slight
22047,Slight
19728,Slight
3891,Slight
8641,Slight
21998,Slight
21994,Slight
8842,Slight
26060,Slight
19896,Slight
26096,Slight
27925,Slight
6366,Slight
4038,Slight
14153,Slight
19729,Slight
15877,Slight
25209,Slight
10197,Slight
6696,Slight
6956,Slight
233,Slight
17600,Slight
17411,Slight
20641,Slight
3951,Slight
24167,Slight
1105,Slight
3250,Slight
5007,Slight
7772,Slight
18893,Slight
8168,Slight
8450,Slight
589,Slight
4507,Slight
3254,Slight
8867,Slight
10166,Slight
26875,Slight
26874,Slight
10944,Slight
24170,Slight
8305,Slight
27240,Slight
12994,Slight
23976,Slight
21851,Slight
24571,Slight
9214,Slight
7783,Slight
25618,Slight
16308,Slight
19897,Slight
3763,Slight
6646,Slight
28313,Slight
15198,Slight
10317,Slight
1535,Slight
3148,Slight
14046,Slight
20814,Slight
23303,Slight
11252,Slight
9052,Slight
17716,Slight
20068,Slight
9320,Slight
16960,Slight
19898,Slight
19369,Slight
26693,Slight
15876,Slight
3426,Slight
11138,Slight
10126,Slight
12986,Slight
22498,Slight
1640,Slight
23102,Slight
14344,Slight
10421,Slight
11501,Slight
10572,Slight
4619,Slight
23539,Slight
19060,Slight
21306,Slight
27815,Slight
3104,Slight
25211,Slight
7793,Slight
24849,Slight
27587,Slight
18906,Slight
11613,Slight
28728,Slight
8889,Slight
23253,Slight
21994,Slight
5070,Slight
23617,Slight
25831,Slight
7048,Slight
7960,Slight
17696,Slight
19366,Slight
4829,Slight
8496,Slight
19061,Slight
828,Slight
23070,Slight
12019,Slight
23976,Slight
9971,Slight
9682,Slight
16623,Slight
15132,Slight
9281,Slight
11682,Slight
16202,Slight
26113,Slight
24571,Slight
571,Slight
13286,Slight
11617,Slight
5570,Slight
1582,Slight
25365,Slight
12044,Slight
26060,Slight
15123,Slight
4969,Slight
4934,Slight
25725,Slight
5077,Slight
3949,Slight
1368,Slight
6012,Slight
1377,Slight
16959,Slight
10583,Slight
21351,Slight
26573,Slight
24502,Slight
15786,Slight
6646,Slight
8488,Slight
1341,Slight
13074,Slight
18012,Slight
14838,Slight
14344,Slight
26009,Slight
5076,Slight
6364,Slight
1349,Slight
3255,Slight
27437,Slight
10422,Slight
28267,Slight
16855,Slight
18243,Slight
11707,Slight
20839,Slight
19529,Slight
6385,Slight
9338,Slight
6298,Slight
7778,Slight
339,Slight
3380,Slight
2157,Slight
12985,Slight
8128,Slight
23161,Slight
15150,Slight
2003,Slight
13381,Slight
14678,Slight
27430,Slight
20958,Slight
24849,Slight
23539,Slight
26430,Slight
19745,Slight
382,Slight
8715,Slight
3426,Slight
19962,Slight
1534,Slight
9972,Slight
16070,Slight
17697,Slight
13448,Slight
