,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
29009,170026,14270,3,2,2,1,60,4,1,6,32,9,8,2,2,1,1,Assistance,-5.209456,49.984153
29010,170026,14270,3,2,2,1,60,4,1,6,32,9,8,2,2,2,3,Slight,-5.209456,49.984153
26693,170029,14431,3,1,2,2,60,1,2,6,3,9,16,2,1,1,3,Slight,-5.209511,49.985599
26694,170029,14431,3,1,2,2,60,1,2,6,3,9,16,2,2,2,1,Slight,-5.209511,49.985599
26695,170029,14431,3,1,2,2,60,1,2,6,3,9,16,2,1,1,3,Assistance,-5.209511,49.985599
20139,171825,15348,6,1,1,2,30,1,2,6,31,9,16,1,1,1,3,Assistance,-5.185075,49.994462
22576,169981,15483,3,2,1,1,60,2,1,1,29,5,2,5,1,1,3,Assistance,-5.210809,49.995028
22576,169981,15483,3,2,1,1,60,2,1,1,29,5,2,5,1,1,3,Assistance,-5.210809,49.995028
11089,169798,18361,3,2,2,2,60,2,1,1,49,9,16,4,2,2,3,Slight,-5.215116,50.020739
11090,169798,18361,3,2,2,2,60,2,1,1,49,9,3,4,2,2,3,Slight,-5.215116,50.020739
11091,169798,18361,3,2,2,2,60,2,1,1,49,9,16,4,1,2,3,Assistance,-5.215116,50.020739
11092,169798,18361,3,2,2,2,60,2,1,1,49,9,3,4,1,2,3,Assistance,-5.215116,50.020739
11089,169798,18361,3,2,2,2,60,2,1,1,49,9,16,4,2,2,3,Slight,-5.215116,50.020739
11090,169798,18361,3,2,2,2,60,2,1,1,49,9,3,4,2,2,3,Slight,-5.215116,50.020739
11091,169798,18361,3,2,2,2,60,2,1,1,49,9,16,4,1,2,3,Assistance,-5.215116,50.020739
11092,169798,18361,3,2,2,2,60,2,1,1,49,9,3,4,1,2,3,Assistance,-5.215116,50.020739
16457,173136,19648,6,2,1,1,60,2,1,6,26,9,16,2,1,1,3,Slight,-5.169268,50.033652
