,Casualty Severity
0,Slight
1,Assistance
2,Slight
3,Assistance
4,Slight
5,Assistance
6,Assistance
7,Assistance
8,Assistance
9,Assistance
10,Slight
11,Slight
12,Assistance
13,Assistance
14,Assistance
15,Assistance
16,Assistance
17,Slight
18,Assistance
19,Slight
20,Slight
21,Slight
22,Assistance
23,Slight
24,Slight
25,Assistance
26,Slight
27,Slight
28,Assistance
29,Slight
30,Assistance
31,Slight
32,Slight
33,Assistance
34,Assistance
35,Assistance
36,Assistance
37,Slight
38,Assistance
39,Slight
40,Assistance
41,Assistance
42,Slight
43,Assistance
44,Assistance
45,Slight
46,Slight
47,Assistance
48,Assistance
49,Assistance
50,Slight
51,Assistance
52,Assistance
53,Slight
54,Slight
55,Slight
56,Assistance
57,Assistance
58,Slight
59,Slight
60,Slight
61,Slight
62,Slight
63,Slight
64,Assistance
65,Slight
66,Assistance
67,Assistance
68,Assistance
69,Slight
70,Slight
71,Slight
72,Assistance
73,Assistance
74,Slight
75,Assistance
76,Assistance
77,Slight
78,Slight
79,Slight
80,Assistance
81,Slight
82,Slight
83,Slight
84,Assistance
85,Slight
86,Slight
87,Assistance
88,Slight
89,Slight
90,Slight
91,Slight
92,Slight
93,Assistance
94,Slight
95,Assistance
96,Slight
97,Slight
98,Slight
99,Assistance
100,Slight
101,Assistance
102,Slight
103,Slight
104,Assistance
105,Assistance
106,Slight
107,Slight
108,Slight
109,Slight
110,Slight
111,Assistance
112,Assistance
113,Slight
114,Assistance
115,Assistance
116,Assistance
117,Slight
118,Slight
119,Slight
120,Slight
121,Assistance
122,Slight
123,Slight
124,Assistance
125,Slight
126,Assistance
127,Assistance
128,Slight
129,Assistance
130,Slight
131,Assistance
132,Slight
133,Assistance
134,Assistance
135,Slight
136,Slight
137,Assistance
138,Slight
139,Slight
140,Assistance
141,Assistance
142,Slight
143,Slight
144,Assistance
145,Slight
146,Slight
147,Assistance
148,Slight
149,Slight
150,Assistance
151,Slight
152,Assistance
153,Assistance
154,Assistance
155,Assistance
156,Assistance
157,Assistance
158,Assistance
159,Slight
160,Slight
161,Assistance
162,Assistance
163,Assistance
164,Assistance
165,Assistance
166,Slight
167,Assistance
168,Slight
169,Slight
170,Slight
171,Assistance
172,Slight
173,Slight
174,Assistance
175,Slight
176,Slight
177,Slight
178,Slight
179,Assistance
180,Slight
181,Slight
182,Slight
183,Assistance
184,Slight
185,Assistance
186,Assistance
187,Slight
188,Slight
189,Assistance
190,Slight
191,Slight
192,Assistance
193,Assistance
194,Assistance
195,Assistance
196,Assistance
197,Slight
198,Assistance
199,Slight
200,Slight
201,Slight
202,Slight
203,Assistance
204,Assistance
205,Assistance
206,Slight
207,Slight
208,Slight
209,Slight
210,Assistance
211,Assistance
212,Slight
213,Slight
214,Assistance
215,Assistance
216,Slight
217,Assistance
218,Slight
219,Slight
220,Assistance
221,Assistance
222,Assistance
223,Assistance
224,Slight
225,Slight
226,Slight
227,Assistance
228,Assistance
229,Assistance
230,Assistance
231,Assistance
232,Assistance
233,Slight
234,Slight
235,Assistance
236,Slight
237,Slight
238,Slight
239,Slight
240,Slight
241,Assistance
242,Assistance
243,Slight
244,Assistance
245,Slight
246,Slight
247,Slight
248,Assistance
249,Assistance
250,Slight
251,Slight
252,Assistance
253,Slight
254,Assistance
255,Slight
256,Slight
257,Assistance
258,Assistance
259,Assistance
260,Assistance
261,Slight
262,Assistance
263,Slight
264,Assistance
265,Slight
266,Assistance
267,Assistance
268,Assistance
269,Slight
270,Slight
271,Assistance
272,Slight
273,Assistance
274,Slight
275,Slight
276,Assistance
277,Assistance
278,Slight
279,Assistance
280,Assistance
281,Assistance
282,Assistance
283,Slight
284,Slight
285,Slight
286,Slight
287,Slight
288,Slight
289,Slight
290,Slight
291,Slight
292,Assistance
293,Assistance
294,Slight
295,Slight
296,Assistance
297,Slight
298,Assistance
299,Slight
300,Assistance
301,Assistance
302,Assistance
303,Slight
304,Slight
305,Assistance
306,Assistance
307,Assistance
308,Slight
309,Slight
310,Slight
311,Slight
312,Assistance
313,Slight
314,Assistance
315,Slight
316,Slight
317,Slight
318,Slight
319,Assistance
320,Slight
321,Slight
322,Slight
323,Assistance
324,Assistance
325,Slight
326,Slight
327,Assistance
328,Slight
329,Slight
330,Slight
331,Assistance
332,Assistance
333,Slight
334,Assistance
335,Assistance
336,Slight
337,Slight
338,Slight
339,Slight
340,Assistance
341,Assistance
342,Slight
343,Assistance
344,Assistance
345,Slight
346,Assistance
347,Assistance
348,Assistance
349,Slight
350,Slight
351,Slight
352,Assistance
353,Slight
354,Slight
355,Assistance
356,Slight
357,Slight
358,Slight
359,Slight
360,Assistance
361,Slight
362,Slight
363,Slight
364,Slight
365,Slight
366,Slight
367,Assistance
368,Slight
369,Assistance
370,Slight
371,Assistance
372,Slight
373,Slight
374,Slight
375,Slight
376,Assistance
377,Slight
378,Slight
379,Slight
380,Slight
381,Assistance
382,Assistance
383,Assistance
384,Slight
385,Slight
386,Slight
387,Slight
388,Assistance
389,Assistance
390,Assistance
391,Slight
392,Assistance
393,Slight
394,Assistance
395,Slight
396,Slight
397,Assistance
398,Assistance
399,Assistance
400,Slight
401,Slight
402,Assistance
403,Slight
404,Assistance
405,Assistance
406,Assistance
407,Slight
408,Assistance
409,Assistance
410,Assistance
411,Slight
412,Slight
413,Assistance
414,Slight
415,Slight
416,Slight
417,Slight
418,Assistance
419,Slight
420,Assistance
421,Slight
422,Assistance
423,Assistance
424,Slight
425,Slight
426,Slight
427,Slight
428,Assistance
429,Assistance
430,Assistance
431,Assistance
432,Slight
433,Slight
434,Assistance
435,Assistance
436,Assistance
437,Assistance
438,Slight
439,Assistance
440,Slight
441,Assistance
442,Slight
443,Slight
444,Assistance
445,Assistance
446,Assistance
447,Assistance
448,Assistance
449,Assistance
450,Slight
451,Slight
452,Slight
453,Assistance
454,Assistance
455,Slight
456,Slight
457,Slight
458,Slight
459,Assistance
460,Assistance
461,Slight
462,Slight
463,Slight
464,Assistance
465,Slight
466,Assistance
467,Assistance
468,Slight
469,Slight
470,Slight
471,Slight
472,Slight
473,Assistance
474,Slight
475,Assistance
476,Slight
477,Slight
478,Slight
479,Assistance
480,Slight
481,Slight
482,Assistance
483,Slight
484,Assistance
485,Slight
486,Assistance
487,Assistance
488,Slight
489,Slight
490,Slight
491,Slight
492,Slight
493,Assistance
494,Slight
495,Slight
496,Slight
497,Assistance
498,Assistance
499,Assistance
500,Slight
501,Assistance
502,Slight
503,Assistance
504,Slight
505,Assistance
506,Assistance
507,Slight
508,Assistance
509,Slight
510,Slight
511,Slight
512,Assistance
513,Slight
514,Assistance
515,Assistance
516,Slight
517,Slight
518,Slight
519,Slight
520,Assistance
521,Slight
522,Assistance
523,Slight
524,Slight
525,Assistance
526,Assistance
527,Assistance
528,Slight
529,Slight
530,Slight
531,Slight
532,Slight
533,Slight
534,Slight
535,Assistance
536,Assistance
537,Slight
538,Slight
539,Assistance
540,Assistance
541,Slight
542,Slight
543,Slight
544,Assistance
545,Slight
546,Assistance
547,Assistance
548,Slight
549,Assistance
550,Assistance
551,Slight
552,Assistance
553,Assistance
554,Assistance
555,Assistance
556,Assistance
557,Assistance
558,Assistance
559,Slight
560,Assistance
561,Assistance
562,Slight
563,Slight
564,Assistance
565,Assistance
566,Slight
567,Assistance
568,Assistance
569,Assistance
570,Slight
571,Assistance
572,Assistance
573,Assistance
574,Assistance
575,Assistance
576,Slight
577,Assistance
578,Assistance
579,Assistance
580,Assistance
581,Slight
582,Assistance
583,Slight
584,Slight
585,Assistance
586,Assistance
587,Slight
588,Assistance
589,Assistance
590,Assistance
591,Slight
592,Slight
593,Slight
594,Assistance
595,Assistance
596,Assistance
597,Slight
598,Assistance
599,Slight
600,Assistance
601,Assistance
602,Assistance
603,Assistance
604,Assistance
605,Slight
606,Assistance
607,Slight
608,Slight
609,Slight
610,Assistance
611,Slight
612,Slight
613,Slight
614,Assistance
615,Slight
616,Assistance
617,Assistance
618,Slight
619,Assistance
620,Slight
621,Slight
622,Slight
623,Assistance
624,Slight
625,Slight
626,Slight
627,Assistance
628,Slight
629,Assistance
630,Slight
631,Slight
632,Assistance
633,Assistance
634,Assistance
635,Slight
636,Slight
637,Assistance
638,Slight
639,Slight
640,Slight
641,Slight
642,Assistance
643,Slight
644,Assistance
645,Slight
646,Assistance
647,Assistance
648,Slight
649,Slight
650,Slight
651,Assistance
652,Assistance
653,Slight
654,Assistance
655,Slight
656,Slight
657,Assistance
658,Assistance
659,Slight
660,Slight
661,Assistance
662,Assistance
663,Assistance
664,Slight
665,Slight
666,Slight
667,Slight
668,Assistance
669,Slight
670,Assistance
671,Assistance
672,Slight
673,Assistance
674,Assistance
675,Slight
676,Slight
677,Assistance
678,Assistance
679,Assistance
680,Slight
681,Slight
682,Assistance
683,Slight
684,Slight
685,Assistance
686,Assistance
687,Slight
688,Slight
689,Slight
690,Slight
691,Assistance
692,Slight
693,Assistance
694,Slight
695,Slight
696,Slight
697,Assistance
698,Assistance
699,Assistance
700,Slight
701,Slight
702,Slight
703,Assistance
704,Slight
705,Assistance
706,Slight
707,Slight
708,Assistance
709,Assistance
710,Assistance
711,Assistance
712,Assistance
713,Assistance
714,Slight
715,Assistance
716,Slight
717,Assistance
718,Assistance
719,Slight
720,Assistance
721,Assistance
722,Assistance
723,Slight
724,Assistance
725,Assistance
726,Assistance
727,Slight
728,Assistance
729,Assistance
730,Assistance
731,Assistance
732,Slight
733,Slight
734,Slight
735,Assistance
736,Slight
737,Assistance
738,Slight
739,Slight
740,Assistance
741,Slight
742,Slight
743,Slight
744,Assistance
745,Slight
746,Assistance
747,Slight
748,Assistance
749,Slight
750,Assistance
751,Assistance
752,Slight
753,Slight
754,Slight
755,Assistance
756,Assistance
757,Slight
758,Assistance
759,Assistance
760,Assistance
761,Slight
762,Assistance
763,Slight
764,Slight
765,Assistance
766,Slight
767,Assistance
768,Assistance
769,Assistance
770,Slight
771,Assistance
772,Slight
773,Slight
774,Slight
775,Assistance
776,Slight
777,Slight
778,Assistance
779,Slight
780,Slight
781,Slight
782,Slight
783,Slight
784,Slight
785,Slight
786,Slight
787,Slight
788,Slight
789,Assistance
790,Assistance
791,Assistance
792,Slight
793,Slight
794,Assistance
795,Slight
796,Slight
797,Slight
798,Slight
799,Assistance
800,Slight
801,Slight
802,Slight
803,Slight
804,Assistance
805,Slight
806,Assistance
807,Slight
808,Slight
809,Assistance
810,Assistance
811,Slight
812,Assistance
813,Slight
814,Assistance
815,Assistance
816,Slight
817,Assistance
818,Assistance
819,Slight
820,Slight
821,Slight
822,Slight
823,Assistance
824,Slight
825,Assistance
826,Assistance
827,Slight
828,Assistance
829,Slight
830,Assistance
831,Slight
832,Slight
833,Slight
834,Assistance
835,Slight
836,Slight
837,Slight
838,Assistance
839,Slight
840,Assistance
841,Assistance
842,Assistance
843,Assistance
844,Assistance
845,Slight
846,Assistance
847,Slight
848,Assistance
849,Slight
850,Assistance
851,Slight
852,Assistance
853,Slight
854,Slight
855,Assistance
856,Assistance
857,Assistance
858,Assistance
859,Slight
860,Slight
861,Slight
862,Assistance
863,Slight
864,Assistance
865,Assistance
866,Slight
867,Slight
868,Slight
869,Slight
870,Assistance
871,Assistance
872,Slight
873,Slight
874,Slight
875,Slight
876,Assistance
877,Slight
878,Assistance
879,Slight
880,Assistance
881,Assistance
882,Slight
883,Assistance
884,Slight
885,Assistance
886,Slight
887,Slight
888,Slight
889,Slight
890,Slight
891,Assistance
892,Slight
893,Assistance
894,Assistance
895,Slight
896,Assistance
897,Assistance
898,Assistance
899,Assistance
900,Assistance
901,Assistance
902,Assistance
903,Assistance
904,Slight
905,Assistance
906,Assistance
907,Assistance
908,Slight
909,Slight
910,Slight
911,Assistance
912,Assistance
913,Slight
914,Slight
915,Assistance
916,Slight
917,Slight
918,Slight
919,Assistance
920,Assistance
921,Slight
922,Slight
923,Assistance
924,Slight
925,Assistance
926,Assistance
927,Assistance
928,Assistance
929,Slight
930,Assistance
931,Slight
932,Slight
933,Assistance
934,Slight
935,Slight
936,Slight
937,Slight
938,Slight
939,Slight
940,Assistance
941,Assistance
942,Slight
943,Assistance
944,Assistance
945,Assistance
946,Slight
947,Assistance
948,Slight
949,Slight
950,Assistance
951,Slight
952,Slight
953,Slight
954,Assistance
955,Assistance
956,Assistance
957,Assistance
958,Slight
959,Assistance
960,Assistance
961,Slight
962,Slight
963,Assistance
964,Slight
965,Slight
966,Assistance
967,Slight
968,Slight
969,Slight
970,Slight
971,Slight
972,Slight
973,Slight
974,Slight
975,Slight
976,Assistance
977,Slight
978,Assistance
979,Assistance
980,Assistance
981,Slight
982,Assistance
983,Slight
984,Assistance
985,Slight
986,Assistance
987,Assistance
988,Assistance
989,Slight
990,Assistance
991,Assistance
992,Assistance
993,Assistance
994,Assistance
995,Assistance
996,Slight
997,Assistance
998,Assistance
999,Assistance
1000,Assistance
1001,Assistance
1002,Assistance
1003,Assistance
1004,Slight
1005,Assistance
1006,Slight
1007,Assistance
1008,Slight
1009,Slight
1010,Slight
1011,Slight
1012,Assistance
1013,Assistance
1014,Slight
1015,Assistance
1016,Slight
1017,Slight
1018,Assistance
1019,Slight
1020,Slight
1021,Slight
1022,Assistance
1023,Slight
1024,Assistance
1025,Slight
1026,Slight
1027,Assistance
1028,Slight
1029,Assistance
1030,Slight
1031,Assistance
1032,Slight
1033,Assistance
1034,Assistance
1035,Assistance
1036,Slight
1037,Assistance
1038,Slight
1039,Slight
1040,Slight
1041,Slight
1042,Assistance
1043,Assistance
1044,Assistance
1045,Assistance
1046,Assistance
1047,Slight
1048,Assistance
1049,Assistance
1050,Slight
1051,Assistance
1052,Assistance
1053,Slight
1054,Slight
1055,Slight
1056,Slight
1057,Slight
1058,Assistance
1059,Slight
1060,Slight
1061,Slight
1062,Assistance
1063,Assistance
1064,Slight
1065,Slight
1066,Assistance
1067,Slight
1068,Slight
1069,Assistance
1070,Assistance
1071,Assistance
1072,Assistance
1073,Slight
1074,Slight
1075,Slight
1076,Slight
1077,Assistance
1078,Slight
1079,Slight
1080,Assistance
1081,Assistance
1082,Slight
1083,Slight
1084,Slight
1085,Assistance
1086,Slight
1087,Slight
1088,Slight
1089,Assistance
1090,Slight
1091,Assistance
1092,Slight
1093,Slight
1094,Slight
1095,Assistance
1096,Assistance
1097,Slight
1098,Slight
1099,Assistance
1100,Assistance
1101,Assistance
1102,Assistance
1103,Slight
1104,Slight
1105,Assistance
1106,Assistance
1107,Slight
1108,Assistance
1109,Slight
1110,Assistance
1111,Assistance
1112,Slight
1113,Slight
1114,Assistance
1115,Slight
1116,Slight
1117,Slight
1118,Assistance
1119,Assistance
1120,Assistance
1121,Slight
1122,Slight
1123,Slight
1124,Slight
1125,Slight
1126,Assistance
1127,Slight
1128,Slight
1129,Slight
1130,Slight
1131,Slight
1132,Assistance
1133,Assistance
1134,Slight
1135,Assistance
1136,Assistance
1137,Slight
1138,Assistance
1139,Assistance
1140,Slight
1141,Slight
1142,Slight
1143,Slight
1144,Assistance
1145,Slight
1146,Assistance
1147,Assistance
1148,Slight
1149,Slight
1150,Assistance
1151,Slight
1152,Assistance
1153,Slight
1154,Assistance
1155,Slight
1156,Slight
1157,Slight
1158,Assistance
1159,Assistance
1160,Assistance
1161,Slight
1162,Slight
1163,Slight
1164,Assistance
1165,Slight
1166,Assistance
1167,Assistance
1168,Slight
1169,Slight
1170,Slight
1171,Assistance
1172,Slight
1173,Slight
1174,Assistance
1175,Slight
1176,Slight
1177,Assistance
1178,Slight
1179,Slight
1180,Slight
1181,Slight
1182,Slight
1183,Slight
1184,Assistance
1185,Assistance
1186,Assistance
1187,Assistance
1188,Assistance
1189,Assistance
1190,Slight
1191,Assistance
1192,Assistance
1193,Assistance
1194,Slight
1195,Slight
1196,Assistance
1197,Slight
1198,Slight
1199,Assistance
1200,Slight
1201,Assistance
1202,Slight
1203,Assistance
1204,Assistance
1205,Assistance
1206,Assistance
1207,Assistance
1208,Slight
1209,Assistance
1210,Assistance
1211,Slight
1212,Slight
1213,Slight
1214,Assistance
1215,Slight
1216,Slight
1217,Assistance
1218,Slight
1219,Assistance
1220,Assistance
1221,Slight
1222,Slight
1223,Assistance
1224,Slight
1225,Slight
1226,Slight
1227,Slight
1228,Slight
1229,Assistance
1230,Assistance
1231,Slight
1232,Slight
1233,Assistance
1234,Slight
1235,Slight
1236,Slight
1237,Slight
1238,Slight
1239,Slight
1240,Slight
1241,Slight
1242,Slight
1243,Slight
1244,Slight
1245,Slight
1246,Assistance
1247,Slight
1248,Slight
1249,Slight
1250,Slight
1251,Assistance
1252,Slight
1253,Slight
1254,Assistance
1255,Assistance
1256,Assistance
1257,Assistance
1258,Slight
1259,Slight
1260,Assistance
1261,Assistance
1262,Assistance
1263,Slight
1264,Slight
1265,Slight
1266,Slight
1267,Slight
1268,Slight
1269,Slight
1270,Slight
1271,Slight
1272,Slight
1273,Assistance
1274,Assistance
1275,Assistance
1276,Assistance
1277,Slight
1278,Slight
1279,Assistance
1280,Slight
1281,Assistance
1282,Slight
1283,Assistance
1284,Slight
1285,Slight
1286,Assistance
1287,Slight
1288,Assistance
1289,Slight
1290,Slight
1291,Slight
1292,Slight
1293,Slight
1294,Slight
1295,Assistance
1296,Slight
1297,Assistance
1298,Assistance
1299,Assistance
1300,Assistance
1301,Slight
1302,Assistance
1303,Slight
1304,Slight
1305,Slight
1306,Slight
1307,Assistance
1308,Slight
1309,Assistance
1310,Slight
1311,Assistance
1312,Slight
1313,Slight
1314,Assistance
1315,Slight
1316,Slight
1317,Slight
1318,Slight
1319,Slight
1320,Assistance
1321,Assistance
1322,Assistance
1323,Assistance
1324,Slight
1325,Slight
1326,Assistance
1327,Assistance
1328,Slight
1329,Assistance
1330,Assistance
1331,Assistance
1332,Assistance
1333,Slight
1334,Slight
1335,Assistance
1336,Assistance
1337,Assistance
1338,Assistance
1339,Slight
1340,Slight
1341,Assistance
1342,Assistance
1343,Slight
1344,Assistance
1345,Assistance
1346,Slight
1347,Assistance
1348,Slight
1349,Assistance
1350,Slight
1351,Assistance
1352,Assistance
1353,Slight
