,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,drogas_alcohol_positivo,vehiculos_implicados,coordenada_x_utm,coordenada_y_utm
36047,2,17,11.0,5,1.0,5.0,1.0,3,1,Serious,2,2,443767292,4464719193
36048,2,17,11.0,5,1.0,5.0,1.0,3,2,Slight,1,2,443767292,4464719193
50263,1,19,11.0,2,1.0,9.0,1.0,3,1,Slight,2,3,439229970,4464807550
50264,1,19,11.0,2,1.0,4.0,1.0,3,1,Serious,2,3,439229970,4464807550
50265,1,19,11.0,2,1.0,4.0,2.0,3,1,Serious,2,3,439229970,4464807550
51443,1,17,11.0,4,1.0,3.0,1.0,3,2,Slight,2,2,439229970,4464807550
51444,1,17,11.0,4,1.0,5.0,1.0,3,1,Slight,2,2,439229970,4464807550
38745,2,19,11.0,1,2.0,5.0,1.0,3,1,Serious,2,2,441379146,4464850981
38746,2,19,11.0,1,2.0,5.0,2.0,3,1,Slight,2,2,441379146,4464850981
39110,1,16,5.0,7,1.0,12.0,1.0,3,1,Serious,2,1,449472252,4464997123
151,1,19,11.0,2,1.0,4.0,1.0,3,1,Serious,2,2,439886267,4465030340
152,1,19,11.0,2,1.0,5.0,1.0,3,2,Slight,2,2,439886267,4465030340
19031,1,17,11.0,2,1.0,1.0,1.0,3,1,Serious,2,2,438946413,4465117354
19032,1,17,11.0,2,1.0,5.0,1.0,3,1,Slight,2,2,438946413,4465117354
514,2,19,11.0,2,1.0,4.0,1.0,3,1,Slight,2,1,440882377,4465293395
8983,2,19,11.0,2,1.0,5.0,1.0,3,1,Slight,1,7,440888985,4465295616
8984,2,19,11.0,2,1.0,5.0,1.0,3,2,Slight,2,7,440888985,4465295616
8985,2,19,11.0,2,1.0,5.0,2.0,1,2,Serious,2,7,440888985,4465295616
8986,2,19,11.0,2,1.0,5.0,2.0,3,2,Slight,2,7,440888985,4465295616
8987,2,19,11.0,2,1.0,5.0,2.0,3,1,Slight,2,7,440888985,4465295616
8988,2,19,11.0,2,1.0,5.0,2.0,1,1,Slight,2,7,440888985,4465295616
8989,2,19,11.0,2,1.0,5.0,2.0,1,2,Slight,2,7,440888985,4465295616
5806,1,17,11.0,3,1.0,1.0,1.0,3,1,Serious,2,1,443156480,4465583366
45184,1,19,11.0,1,3.0,5.0,1.0,3,1,Slight,2,1,439258310,4465751710
53873,2,19,11.0,6,1.0,5.0,1.0,3,1,Slight,2,2,439258310,4465751710
53874,2,19,11.0,6,1.0,5.0,3.0,3,1,Serious,2,2,439258310,4465751710
34578,1,17,11.0,6,1.0,5.0,1.0,2,1,Slight,2,2,440379233,4465888604
34579,1,17,11.0,6,1.0,5.0,3.0,3,2,Serious,2,2,440379233,4465888604
35951,2,19,11.0,6,1.0,5.0,1.0,2,1,Slight,2,3,439555584,4465955132
35952,2,19,11.0,6,1.0,5.0,3.0,3,1,Slight,1,3,439555584,4465955132
35953,2,19,11.0,6,1.0,5.0,3.0,3,1,Serious,2,3,439555584,4465955132
45164,1,19,11.0,6,1.0,9.0,1.0,3,1,Slight,2,2,441731960,4466012460
45165,1,19,11.0,6,1.0,9.0,3.0,4,2,Serious,2,2,441731960,4466012460
26489,1,19,11.0,6,1.0,5.0,3.0,4,2,Serious,2,1,440077145,4466031614
32249,2,19,11.0,3,2.0,3.0,1.0,3,1,Serious,2,1,441778985,4466040142
1445,2,17,11.0,4,1.0,4.0,1.0,3,1,Serious,2,5,442955610,4466155406
1446,2,17,11.0,4,1.0,5.0,1.0,4,1,Slight,2,5,442955610,4466155406
1447,2,17,11.0,4,1.0,5.0,2.0,3,2,Slight,2,5,442955610,4466155406
1448,2,17,11.0,4,1.0,5.0,2.0,4,1,Slight,2,5,442955610,4466155406
1449,2,17,11.0,4,1.0,5.0,2.0,4,2,Slight,2,5,442955610,4466155406
47207,1,3,11.0,5,1.0,4.0,1.0,3,1,Serious,2,2,439407360,4466222160
47208,1,3,11.0,5,1.0,5.0,1.0,3,2,Slight,2,2,439407360,4466222160
23809,1,3,11.0,6,2.0,5.0,1.0,4,1,Slight,2,2,441110351,4466230937
23810,1,3,11.0,6,2.0,5.0,3.0,3,2,Serious,2,2,441110351,4466230937
44854,2,19,11.0,6,1.0,5.0,1.0,2,1,Slight,2,2,439377570,4466273250
44855,2,19,11.0,6,1.0,5.0,3.0,1,1,Serious,2,2,439377570,4466273250
26903,2,17,11.0,2,1.0,5.0,1.0,2,1,Slight,2,7,442873667,4466347739
26904,2,17,11.0,2,1.0,5.0,1.0,2,2,Slight,2,7,442873667,4466347739
26905,2,17,11.0,2,1.0,5.0,1.0,3,1,Serious,2,7,442873667,4466347739
26906,2,17,11.0,2,1.0,5.0,2.0,1,1,Slight,2,7,442873667,4466347739
26907,2,17,11.0,2,1.0,5.0,2.0,2,1,Slight,2,7,442873667,4466347739
26908,2,17,11.0,2,1.0,5.0,2.0,2,2,Slight,2,7,442873667,4466347739
46529,2,19,11.0,6,1.0,5.0,1.0,3,1,Slight,1,2,439467210,4466497770
46530,2,19,11.0,6,1.0,5.0,3.0,3,1,Serious,2,2,439467210,4466497770
30264,1,17,11.0,2,1.0,6.0,1.0,3,1,Slight,2,5,442638125,4466725469
30265,1,17,11.0,2,1.0,6.0,2.0,3,1,Slight,2,5,442638125,4466725469
30266,1,17,11.0,2,1.0,6.0,2.0,3,2,Slight,2,5,442638125,4466725469
30267,1,17,11.0,2,1.0,9.0,1.0,3,1,Slight,2,5,442638125,4466725469
35717,1,17,16.0,2,1.0,9.0,1.0,3,1,Slight,1,2,442634546,4466726998
35718,1,17,16.0,2,1.0,4.0,1.0,2,1,Serious,2,2,442634546,4466726998
11530,1,17,11.0,6,1.0,5.0,1.0,3,1,Slight,2,2,442618963,4466747633
11531,1,17,11.0,6,1.0,5.0,3.0,1,1,Serious,2,2,442618963,4466747633
12094,1,17,11.0,2,1.0,5.0,1.0,2,1,Slight,2,3,441146127,4466804451
12095,1,17,11.0,2,1.0,5.0,1.0,3,1,Slight,2,3,441146127,4466804451
12096,1,17,11.0,2,1.0,5.0,2.0,3,2,Slight,2,3,441146127,4466804451
17681,2,17,11.0,2,1.0,4.0,1.0,3,1,Serious,2,2,441146439,4466799398
17682,2,17,11.0,2,1.0,5.0,1.0,3,1,Slight,1,2,441146439,4466799398
3260,2,17,11.0,1,1.0,9.0,1.0,3,1,Serious,2,1,441152031,4466819716
53270,1,19,11.0,6,1.0,5.0,1.0,2,1,Slight,2,2,440268320,4466867730
53271,1,19,11.0,6,1.0,5.0,3.0,4,2,Serious,2,2,440268320,4466867730
32739,1,7,5.0,7,1.0,15.0,1.0,2,1,Serious,2,1,445415335,4466893346
36471,1,19,11.0,6,1.0,5.0,1.0,5,1,Slight,2,2,441212799,4466927570
36472,1,19,11.0,6,1.0,5.0,3.0,3,1,Serious,2,2,441212799,4466927570
33289,1,19,11.0,6,1.0,6.0,1.0,3,1,Slight,2,5,441418888,4467015311
33290,1,19,11.0,6,1.0,6.0,2.0,3,2,Slight,2,5,441418888,4467015311
33291,1,19,11.0,6,1.0,5.0,1.0,3,2,Slight,2,5,441418888,4467015311
33292,1,19,11.0,6,1.0,5.0,2.0,4,2,Slight,2,5,441418888,4467015311
33293,1,19,11.0,6,1.0,5.0,3.0,3,2,Serious,2,5,441418888,4467015311
49437,1,19,11.0,6,1.0,5.0,1.0,4,1,Slight,2,2,440705540,4467156750
49438,1,19,11.0,6,1.0,5.0,3.0,4,1,Serious,2,2,440705540,4467156750
11661,2,19,11.0,6,1.0,5.0,1.0,3,1,Slight,2,2,441178873,4467207177
11662,2,19,11.0,6,1.0,5.0,3.0,1,1,Serious,2,2,441178873,4467207177
13096,1,17,11.0,0,1.0,4.0,1.0,3,1,Serious,2,2,441944326,4467252660
13097,1,17,11.0,0,1.0,5.0,1.0,2,1,Slight,2,2,441944326,4467252660
21267,2,9,11.0,10,1.0,5.0,1.0,3,2,Slight,1,1,439478785,4467329571
32835,2,16,11.0,10,1.0,5.0,1.0,3,1,Serious,2,1,439470807,4467327483
24383,2,17,11.0,6,3.0,5.0,1.0,2,1,Slight,2,3,441146588,4467335890
24384,2,17,11.0,6,3.0,5.0,2.0,2,2,Slight,2,3,441146588,4467335890
24385,2,17,11.0,6,3.0,5.0,3.0,1,1,Serious,2,3,441146588,4467335890
39288,2,19,11.0,6,1.0,5.0,1.0,3,1,Slight,2,4,441461537,4467380925
39289,2,19,11.0,6,1.0,5.0,2.0,3,1,Slight,2,4,441461537,4467380925
39290,2,19,11.0,6,1.0,5.0,3.0,4,1,Serious,2,4,441461537,4467380925
11182,1,17,11.0,0,1.0,5.0,1.0,3,1,Slight,2,2,441148787,4467499684
39253,2,17,11.0,8,1.0,5.0,1.0,3,1,Serious,2,9,441148153,4467500429
39254,2,17,11.0,8,1.0,5.0,1.0,3,1,Slight,2,9,441148153,4467500429
39255,2,17,11.0,8,1.0,5.0,1.0,3,1,Slight,1,9,441148153,4467500429
