,Casualty Severity
6034,Slight
11308,Slight
35197,Slight
9431,Slight
28013,Slight
11316,Slight
35734,Slight
2532,Slight
6335,Slight
2078,Slight
23823,Slight
21382,Slight
6380,Slight
10558,Slight
14946,Slight
31258,Slight
2430,Slight
34639,Slight
16848,Slight
9045,Slight
13263,Slight
16038,Slight
29690,Slight
19779,Slight
9543,Slight
17533,Slight
21285,Slight
32003,Slight
23783,Slight
27027,Slight
27402,Slight
34214,Slight
17701,Slight
22387,Slight
27074,Slight
5152,Slight
37162,Slight
21259,Slight
21116,Slight
17666,Slight
2517,Slight
6745,Slight
6681,Slight
27199,Slight
8266,Slight
10630,Slight
17532,Slight
34379,Slight
22267,Slight
9801,Slight
3788,Slight
27575,Slight
6219,Slight
19535,Slight
24380,Slight
9103,Slight
15195,Slight
31878,Slight
7438,Slight
11559,Slight
13505,Slight
11658,Slight
9591,Slight
32094,Slight
3422,Slight
36282,Slight
8218,Slight
11325,Slight
17291,Slight
16844,Slight
2082,Slight
9465,Slight
24274,Slight
10674,Slight
14654,Slight
27385,Slight
15046,Slight
8543,Slight
26432,Slight
16936,Slight
9539,Slight
29534,Slight
9112,Slight
13455,Slight
14025,Slight
5108,Slight
27398,Slight
2982,Slight
6084,Slight
18919,Slight
27074,Slight
3832,Slight
19899,Slight
21911,Slight
2517,Slight
17585,Slight
30749,Slight
17162,Slight
17757,Slight
13477,Slight
10875,Slight
16936,Slight
5404,Slight
9852,Slight
4599,Slight
36287,Slight
19148,Slight
27103,Slight
8894,Slight
34383,Slight
2296,Slight
24662,Slight
16146,Slight
20920,Slight
26168,Slight
13150,Slight
7813,Slight
14228,Slight
3109,Slight
5656,Slight
5565,Slight
32530,Slight
6079,Slight
27383,Slight
3081,Slight
16734,Slight
8543,Slight
30992,Slight
19779,Slight
24187,Slight
33414,Slight
27575,Slight
27676,Slight
10266,Slight
18008,Slight
23639,Slight
22928,Slight
30029,Slight
23706,Slight
2527,Slight
34639,Slight
24187,Slight
12654,Slight
20751,Slight
14740,Slight
8541,Slight
21117,Slight
5921,Slight
33018,Slight
3832,Slight
6748,Slight
30851,Slight
6750,Slight
36776,Slight
27029,Slight
13556,Slight
19959,Slight
13373,Slight
27201,Slight
18720,Slight
11868,Slight
35100,Slight
15688,Slight
10939,Slight
8025,Slight
5260,Slight
24979,Slight
6880,Slight
2082,Slight
13043,Slight
34112,Slight
14740,Slight
10733,Slight
24181,Slight
11559,Slight
1982,Slight
23504,Slight
21675,Slight
14877,Slight
23923,Slight
3509,Slight
35392,Slight
21383,Slight
17663,Slight
25859,Slight
32595,Slight
6739,Slight
6443,Slight
18004,Slight
905,Slight
2497,Slight
17160,Slight
19327,Slight
19524,Slight
25883,Slight
30042,Slight
18307,Slight
19657,Slight
12843,Slight
902,Slight
34070,Slight
32595,Slight
13817,Slight
21385,Slight
11400,Slight
16847,Slight
28649,Slight
16036,Slight
25860,Slight
29532,Slight
17160,Slight
35540,Slight
19396,Slight
33016,Slight
26761,Slight
30994,Slight
16115,Slight
31508,Slight
19881,Slight
7322,Slight
14605,Slight
21561,Slight
7707,Slight
3449,Slight
33017,Slight
2526,Slight
8916,Slight
3781,Slight
16979,Slight
17098,Slight
3352,Slight
15690,Slight
15464,Slight
18307,Slight
24896,Slight
10557,Slight
12060,Slight
37262,Slight
29168,Slight
27026,Slight
15127,Slight
8339,Slight
13276,Slight
36854,Slight
11869,Slight
15906,Slight
3082,Slight
25866,Slight
24486,Slight
34114,Slight
11895,Slight
6742,Slight
22665,Slight
17472,Slight
35519,Slight
18184,Slight
3151,Slight
29744,Slight
11614,Slight
25865,Slight
1198,Slight
9101,Slight
13334,Slight
3508,Slight
421,Slight
4472,Slight
9650,Slight
21579,Slight
3154,Slight
26761,Slight
26911,Slight
4647,Slight
1014,Slight
3352,Slight
25614,Slight
27398,Slight
14082,Slight
12651,Slight
14882,Slight
21580,Slight
26812,Slight
13471,Slight
23710,Slight
15686,Slight
32003,Slight
8355,Slight
18638,Slight
33996,Slight
14876,Slight
17530,Slight
17588,Slight
15195,Slight
8540,Slight
16115,Slight
6742,Slight
27311,Slight
15971,Slight
11321,Slight
11271,Slight
11935,Slight
34109,Slight
9331,Slight
18002,Slight
4599,Slight
4573,Slight
19299,Slight
33414,Slight
27512,Slight
29172,Slight
15020,Slight
17299,Slight
25364,Slight
11315,Slight
5108,Slight
9936,Slight
1759,Slight
13095,Slight
13471,Slight
3641,Slight
17530,Slight
17470,Slight
22264,Slight
10844,Slight
19882,Slight
14090,Slight
6082,Slight
37085,Slight
19551,Slight
9968,Slight
5104,Slight
28879,Slight
9660,Slight
9538,Slight
33595,Slight
36580,Slight
6450,Slight
11892,Slight
17467,Slight
13473,Slight
19396,Slight
16759,Slight
2943,Slight
35866,Slight
9389,Slight
27907,Slight
33462,Slight
8386,Slight
23316,Slight
25859,Slight
11652,Slight
24256,Slight
31507,Slight
20185,Slight
7437,Slight
25240,Slight
15575,Slight
3778,Slight
7840,Slight
15483,Slight
361,Slight
32003,Slight
27216,Slight
30746,Slight
2209,Slight
4326,Slight
17618,Slight
14252,Slight
15473,Slight
2372,Slight
11524,Slight
29431,Slight
21579,Slight
4598,Slight
5433,Slight
9431,Slight
32492,Slight
2175,Slight
9461,Slight
13795,Slight
11273,Slight
21677,Slight
15935,Slight
17,Slight
26046,Slight
8963,Slight
5108,Slight
36776,Slight
1318,Slight
21060,Slight
10939,Slight
213,Slight
31454,Slight
18918,Slight
17408,Slight
19360,Slight
2435,Slight
15567,Slight
13681,Slight
4723,Slight
34912,Slight
9589,Slight
35676,Slight
15488,Slight
3144,Slight
27030,Slight
20884,Slight
28976,Slight
10651,Slight
10651,Slight
15463,Slight
16844,Slight
29946,Slight
9583,Slight
5660,Slight
22605,Slight
16531,Slight
2529,Slight
6080,Slight
5147,Slight
28167,Slight
16848,Slight
16735,Slight
30744,Slight
27225,Slight
26820,Slight
21663,Slight
9538,Slight
30446,Slight
11315,Slight
8540,Slight
18257,Slight
11124,Slight
24380,Slight
1661,Slight
19657,Slight
13262,Slight
12843,Slight
9850,Slight
15567,Slight
7480,Slight
20884,Slight
9771,Slight
28649,Slight
23632,Slight
23706,Slight
29834,Slight
9593,Slight
1786,Slight
27387,Slight
10732,Slight
34838,Slight
26762,Slight
27677,Slight
8543,Slight
32089,Slight
36129,Slight
3505,Slight
34641,Slight
2297,Slight
6744,Slight
17210,Slight
35393,Slight
13795,Slight
25068,Slight
27386,Slight
3121,Slight
10206,Slight
8308,Slight
33018,Slight
9103,Slight
9791,Slight
12388,Slight
36289,Slight
34112,Slight
28372,Slight
21066,Slight
27030,Slight
33415,Slight
15686,Slight
22022,Slight
5279,Slight
18005,Slight
15473,Slight
3121,Slight
28011,Slight
26481,Slight
21626,Slight
22390,Slight
11974,Slight
22022,Slight
14926,Slight
6570,Slight
23621,Slight
12015,Slight
18942,Slight
36287,Slight
24784,Slight
16735,Slight
35521,Slight
14248,Slight
25859,Slight
11033,Slight
12483,Slight
7709,Slight
12016,Slight
14227,Slight
9802,Slight
4625,Slight
11252,Slight
13505,Slight
24259,Slight
14103,Slight
11313,Slight
2391,Slight
2435,Slight
417,Slight
16620,Slight
33595,Slight
4574,Slight
11840,Slight
28067,Slight
4039,Slight
3505,Slight
19812,Slight
31630,Slight
17291,Slight
36025,Slight
21027,Slight
26046,Slight
32869,Slight
24260,Slight
2980,Slight
5104,Slight
5149,Slight
32894,Slight
15015,Slight
21039,Slight
3782,Slight
10089,Slight
5762,Slight
37247,Slight
20505,Slight
8893,Slight
15516,Slight
32588,Slight
23796,Slight
3434,Slight
18976,Slight
27103,Slight
11893,Slight
10876,Slight
35391,Slight
32188,Slight
15525,Slight
3145,Slight
18920,Slight
6743,Slight
13473,Slight
7536,Slight
