,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
6340,344610,382660,6,1,1,1,40,1,1,6,9,2,1,5,3,1,1,Assistance,-2.833336,53.337919
31817,344188,382692,6,2,2,1,40,1,1,1,20,3,18,2,1,1,2,Assistance,-2.839679,53.338163
20656,344100,382720,6,1,1,1,30,1,1,2,26,2,2,2,3,2,1,Assistance,-2.841005,53.338405
6883,343920,382730,6,1,2,2,30,1,2,5,33,3,9,2,1,1,1,Assistance,-2.84371,53.338475
23596,343690,382760,6,1,2,1,40,1,1,6,36,3,6,2,1,1,3,Assistance,-2.847169,53.338721
29904,344849,382765,6,1,1,1,30,1,1,7,31,2,6,2,3,1,3,Assistance,-2.829742,53.338898
28346,343481,382786,6,1,2,2,40,1,2,6,26,5,8,2,1,1,3,Assistance,-2.850312,53.338932
33659,343483,382789,6,1,2,1,40,1,1,4,25,13,1,4,1,1,3,Slight,-2.850259,53.338985
33660,343483,382789,6,1,2,1,40,1,1,4,25,13,4,2,1,1,3,Slight,-2.850259,53.338985
21020,343350,382820,6,1,4,1,30,1,1,7,43,9,11,2,1,1,4,Slight,-2.852285,53.339223
21021,343350,382820,6,1,4,1,30,1,1,7,43,9,2,2,1,1,4,Slight,-2.852285,53.339223
21022,343350,382820,6,1,4,1,30,1,1,7,43,9,11,2,2,2,4,Slight,-2.852285,53.339223
21023,343350,382820,6,1,4,1,30,1,1,7,43,9,2,2,2,2,4,Slight,-2.852285,53.339223
21024,343350,382820,6,1,4,1,30,1,1,7,43,3,11,2,1,2,2,Assistance,-2.852285,53.339223
21025,343350,382820,6,1,4,1,30,1,1,7,43,3,2,2,1,2,2,Assistance,-2.852285,53.339223
21026,343350,382820,6,1,4,1,30,1,1,7,43,3,11,2,1,1,3,Slight,-2.852285,53.339223
21027,343350,382820,6,1,4,1,30,1,1,7,43,3,2,2,1,1,3,Slight,-2.852285,53.339223
6681,343270,382830,6,1,2,1,30,1,1,5,23,13,3,2,1,1,3,Slight,-2.853488,53.339305
6682,343270,382830,6,1,2,1,30,1,1,5,23,13,3,2,2,1,2,Slight,-2.853488,53.339305
