,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
6340,344610,382660,6,1,1,40,1,1,6,9,2,1,5,3,1,1,Assistance,-2.833336,53.337919,-0.8660254037844384,-0.5000000000000004
6340,344610,382660,6,1,1,40,1,1,6,9,2,1,5,3,1,1,Assistance,-2.833336,53.337919,-0.8660254037844384,-0.5000000000000004
6883,343920,382730,6,2,2,30,1,2,5,33,3,9,2,1,1,1,Assistance,-2.84371,53.338475,-0.9990482215818578,-0.04361938736533613
6883,343920,382730,6,2,2,30,1,2,5,33,3,9,2,1,1,1,Assistance,-2.84371,53.338475,-0.9990482215818578,-0.04361938736533613
6883,343920,382730,6,2,2,30,1,2,5,33,3,9,2,1,1,1,Assistance,-2.84371,53.338475,-0.9990482215818578,-0.04361938736533613
6883,343920,382730,6,2,2,30,1,2,5,33,3,9,2,1,1,1,Assistance,-2.84371,53.338475,-0.9990482215818578,-0.04361938736533613
23596,343690,382760,6,2,1,40,1,1,6,36,3,6,2,1,1,3,Assistance,-2.847169,53.338721,0.6851829903263593,-0.7283709698824001
23596,343690,382760,6,2,1,40,1,1,6,36,3,6,2,1,1,3,Assistance,-2.847169,53.338721,0.6851829903263593,-0.7283709698824001
21020,343350,382820,6,4,1,30,1,1,7,43,9,11,2,1,1,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21021,343350,382820,6,4,1,30,1,1,7,43,9,2,2,1,1,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21022,343350,382820,6,4,1,30,1,1,7,43,9,11,2,2,2,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21023,343350,382820,6,4,1,30,1,1,7,43,9,2,2,2,2,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21024,343350,382820,6,4,1,30,1,1,7,43,3,11,2,1,2,2,Assistance,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21025,343350,382820,6,4,1,30,1,1,7,43,3,2,2,1,2,2,Assistance,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21026,343350,382820,6,4,1,30,1,1,7,43,3,11,2,1,1,3,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21027,343350,382820,6,4,1,30,1,1,7,43,3,2,2,1,1,3,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21020,343350,382820,6,4,1,30,1,1,7,43,9,11,2,1,1,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21021,343350,382820,6,4,1,30,1,1,7,43,9,2,2,1,1,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21022,343350,382820,6,4,1,30,1,1,7,43,9,11,2,2,2,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21023,343350,382820,6,4,1,30,1,1,7,43,9,2,2,2,2,4,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21024,343350,382820,6,4,1,30,1,1,7,43,3,11,2,1,2,2,Assistance,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21025,343350,382820,6,4,1,30,1,1,7,43,3,2,2,1,2,2,Assistance,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21026,343350,382820,6,4,1,30,1,1,7,43,3,11,2,1,1,3,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
21027,343350,382820,6,4,1,30,1,1,7,43,3,2,2,1,1,3,Slight,-2.852285,53.339223,-0.6755902076156598,-0.7372773368101244
25859,342988,382916,6,2,1,40,1,4,1,38,9,8,4,1,1,2,Slight,-2.857739,53.340048,-0.9781476007338056,-0.2079116908177598
25860,342988,382916,6,2,1,40,1,4,1,38,9,11,2,1,1,2,Slight,-2.857739,53.340048,-0.9781476007338056,-0.2079116908177598
25861,342988,382916,6,2,1,40,1,4,1,38,9,8,4,2,1,2,Slight,-2.857739,53.340048,-0.9781476007338056,-0.2079116908177598
25862,342988,382916,6,2,1,40,1,4,1,38,9,11,2,2,1,2,Slight,-2.857739,53.340048,-0.9781476007338056,-0.2079116908177598
25863,342988,382916,6,2,1,40,1,4,1,38,9,8,4,2,1,3,Slight,-2.857739,53.340048,-0.9781476007338056,-0.2079116908177598
25864,342988,382916,6,2,1,40,1,4,1,38,9,11,2,2,1,3,Slight,-2.857739,53.340048,-0.9781476007338056,-0.2079116908177598
25865,342988,382916,6,2,1,40,1,4,1,38,9,8,4,2,2,2,Slight,-2.857739,53.340048,-0.9781476007338056,-0.2079116908177598
