,Casualty Severity
0,Slight
1,Assistance
2,Assistance
3,Slight
4,Assistance
5,Slight
6,Slight
7,Slight
8,Assistance
9,Slight
10,Assistance
11,Assistance
12,Assistance
13,Assistance
14,Assistance
15,Assistance
16,Slight
17,Slight
18,Slight
19,Slight
20,Slight
21,Slight
22,Slight
23,Slight
24,Slight
25,Slight
26,Slight
27,Slight
28,Assistance
29,Slight
30,Assistance
31,Assistance
32,Slight
33,Slight
34,Assistance
35,Slight
36,Slight
37,Assistance
38,Assistance
39,Slight
40,Slight
41,Slight
42,Assistance
43,Assistance
44,Assistance
45,Slight
46,Assistance
47,Slight
48,Assistance
49,Slight
50,Slight
51,Slight
52,Slight
53,Slight
54,Slight
55,Slight
56,Assistance
57,Slight
58,Assistance
59,Slight
60,Slight
61,Slight
62,Slight
63,Slight
64,Slight
65,Slight
66,Assistance
67,Slight
68,Slight
69,Slight
70,Slight
71,Assistance
72,Slight
73,Slight
74,Slight
75,Slight
76,Slight
77,Assistance
78,Slight
79,Slight
80,Assistance
81,Slight
82,Slight
83,Slight
84,Slight
85,Slight
86,Slight
87,Assistance
88,Slight
89,Slight
90,Slight
91,Slight
92,Slight
93,Slight
94,Assistance
95,Slight
96,Slight
97,Slight
98,Assistance
99,Assistance
100,Slight
101,Slight
102,Assistance
103,Slight
104,Slight
105,Slight
106,Slight
107,Assistance
108,Slight
109,Slight
110,Slight
111,Assistance
112,Assistance
113,Slight
114,Assistance
115,Assistance
116,Slight
117,Assistance
118,Slight
119,Assistance
120,Slight
121,Slight
122,Slight
123,Slight
124,Slight
125,Assistance
126,Slight
127,Slight
128,Slight
129,Slight
130,Slight
131,Slight
132,Assistance
133,Slight
134,Assistance
135,Slight
136,Assistance
137,Slight
138,Slight
139,Assistance
140,Slight
141,Slight
142,Slight
143,Assistance
144,Assistance
145,Slight
146,Assistance
147,Slight
148,Slight
149,Assistance
150,Slight
151,Slight
152,Slight
153,Assistance
154,Slight
155,Slight
156,Slight
157,Slight
158,Slight
159,Slight
160,Slight
161,Slight
162,Slight
163,Slight
164,Assistance
165,Slight
166,Slight
167,Assistance
168,Assistance
169,Assistance
170,Assistance
171,Slight
172,Slight
173,Slight
174,Slight
175,Slight
176,Assistance
177,Assistance
178,Slight
179,Slight
180,Assistance
181,Slight
182,Slight
183,Slight
184,Slight
185,Slight
186,Assistance
187,Slight
188,Assistance
189,Slight
190,Assistance
191,Assistance
192,Slight
193,Slight
194,Slight
195,Slight
196,Slight
197,Slight
198,Assistance
199,Slight
200,Slight
201,Assistance
202,Slight
203,Slight
204,Assistance
205,Assistance
206,Slight
207,Slight
208,Slight
209,Slight
210,Slight
211,Slight
212,Slight
213,Assistance
214,Slight
215,Slight
216,Slight
217,Assistance
218,Assistance
219,Slight
220,Slight
221,Slight
222,Slight
223,Slight
224,Slight
225,Slight
226,Slight
227,Slight
228,Slight
229,Slight
230,Slight
231,Slight
232,Assistance
233,Slight
234,Slight
235,Slight
236,Slight
237,Slight
238,Slight
239,Slight
240,Assistance
241,Slight
242,Assistance
243,Slight
244,Assistance
245,Assistance
246,Assistance
247,Slight
248,Slight
249,Slight
250,Slight
251,Slight
252,Slight
253,Assistance
254,Assistance
255,Slight
256,Assistance
257,Slight
258,Slight
259,Slight
260,Slight
261,Slight
262,Slight
263,Slight
264,Slight
265,Assistance
266,Slight
267,Slight
268,Slight
269,Slight
270,Slight
271,Slight
272,Assistance
273,Slight
274,Slight
275,Slight
276,Slight
277,Assistance
278,Slight
279,Assistance
280,Slight
281,Slight
282,Slight
283,Slight
284,Assistance
285,Assistance
286,Slight
287,Slight
288,Slight
289,Slight
290,Slight
291,Slight
292,Slight
293,Slight
294,Slight
295,Assistance
296,Slight
297,Slight
298,Assistance
299,Assistance
300,Slight
301,Assistance
302,Assistance
303,Slight
304,Slight
305,Slight
306,Slight
307,Assistance
308,Slight
309,Slight
310,Slight
311,Slight
312,Slight
313,Assistance
314,Slight
315,Slight
316,Slight
317,Assistance
318,Slight
319,Slight
320,Slight
321,Slight
322,Slight
323,Slight
324,Slight
325,Slight
326,Slight
327,Slight
328,Slight
329,Slight
330,Slight
331,Slight
332,Assistance
333,Slight
334,Slight
335,Slight
336,Slight
337,Slight
338,Assistance
339,Slight
340,Slight
341,Slight
342,Slight
343,Slight
344,Slight
345,Slight
346,Assistance
347,Slight
348,Slight
349,Slight
350,Slight
351,Assistance
352,Slight
353,Slight
354,Slight
355,Slight
356,Slight
357,Slight
358,Slight
359,Slight
360,Slight
361,Slight
362,Slight
363,Slight
364,Slight
365,Slight
366,Slight
367,Slight
368,Slight
369,Assistance
370,Slight
371,Slight
372,Assistance
373,Slight
374,Slight
375,Slight
376,Slight
377,Assistance
378,Slight
379,Slight
380,Assistance
381,Slight
382,Slight
383,Assistance
384,Slight
385,Slight
386,Slight
387,Slight
388,Assistance
389,Slight
390,Slight
391,Slight
392,Slight
393,Assistance
394,Slight
395,Slight
396,Slight
397,Slight
398,Slight
399,Slight
400,Assistance
401,Assistance
402,Slight
403,Assistance
404,Slight
405,Slight
406,Assistance
407,Slight
408,Slight
409,Slight
410,Slight
411,Slight
412,Slight
413,Slight
414,Slight
415,Slight
416,Assistance
417,Assistance
418,Slight
419,Slight
420,Assistance
421,Assistance
422,Slight
423,Slight
424,Slight
425,Slight
426,Assistance
427,Assistance
428,Slight
429,Assistance
430,Slight
431,Slight
432,Slight
433,Slight
434,Slight
435,Assistance
436,Slight
437,Slight
438,Slight
439,Slight
440,Slight
441,Slight
442,Slight
443,Slight
444,Assistance
445,Slight
446,Slight
447,Slight
448,Slight
449,Slight
450,Slight
451,Slight
452,Slight
453,Slight
454,Slight
455,Slight
456,Slight
457,Assistance
458,Slight
459,Slight
460,Assistance
461,Assistance
462,Assistance
463,Slight
464,Slight
465,Assistance
466,Assistance
467,Slight
468,Slight
469,Slight
470,Slight
471,Slight
472,Slight
473,Slight
474,Assistance
475,Assistance
476,Slight
477,Slight
478,Slight
479,Slight
480,Slight
481,Slight
482,Slight
483,Assistance
484,Assistance
485,Slight
486,Slight
487,Assistance
488,Assistance
489,Slight
490,Slight
491,Slight
492,Assistance
493,Slight
494,Assistance
495,Slight
496,Slight
497,Slight
498,Assistance
499,Assistance
500,Assistance
501,Slight
502,Slight
503,Slight
504,Assistance
505,Slight
506,Slight
507,Assistance
508,Slight
509,Slight
510,Slight
511,Slight
512,Slight
513,Slight
514,Slight
515,Slight
516,Slight
517,Slight
518,Slight
519,Assistance
520,Slight
521,Slight
522,Slight
523,Assistance
524,Assistance
525,Slight
526,Slight
527,Slight
528,Slight
529,Slight
530,Assistance
531,Assistance
532,Slight
533,Slight
534,Slight
535,Slight
536,Slight
537,Slight
538,Assistance
539,Slight
540,Assistance
541,Slight
542,Slight
543,Slight
544,Slight
545,Slight
546,Slight
547,Slight
548,Slight
549,Slight
550,Slight
551,Slight
552,Slight
553,Slight
554,Slight
555,Slight
556,Slight
557,Slight
558,Slight
559,Slight
560,Assistance
561,Slight
562,Slight
563,Slight
564,Assistance
565,Slight
566,Slight
567,Assistance
568,Slight
569,Assistance
570,Assistance
571,Assistance
572,Assistance
573,Slight
574,Assistance
575,Slight
576,Slight
577,Slight
578,Slight
579,Slight
580,Slight
581,Slight
582,Slight
583,Assistance
584,Slight
585,Slight
586,Slight
587,Assistance
588,Slight
589,Slight
590,Slight
591,Slight
592,Slight
593,Slight
594,Slight
595,Slight
596,Slight
597,Slight
598,Slight
599,Slight
600,Slight
601,Assistance
602,Assistance
603,Slight
604,Slight
605,Assistance
606,Slight
607,Slight
608,Assistance
609,Slight
610,Slight
611,Slight
612,Slight
613,Slight
614,Slight
615,Assistance
616,Slight
617,Assistance
618,Slight
619,Slight
620,Slight
621,Assistance
622,Assistance
623,Slight
624,Slight
625,Slight
626,Slight
627,Slight
628,Slight
629,Slight
630,Slight
631,Slight
632,Slight
633,Slight
634,Slight
635,Slight
636,Slight
637,Assistance
638,Assistance
639,Slight
640,Assistance
641,Slight
642,Slight
643,Slight
644,Slight
645,Slight
646,Slight
647,Slight
648,Slight
649,Slight
650,Slight
651,Slight
652,Slight
653,Slight
654,Slight
655,Slight
656,Slight
657,Assistance
658,Slight
659,Slight
660,Slight
661,Assistance
662,Slight
663,Slight
664,Slight
665,Assistance
666,Slight
667,Slight
668,Slight
669,Slight
670,Slight
671,Slight
672,Slight
673,Slight
674,Slight
675,Assistance
676,Slight
677,Assistance
678,Slight
679,Slight
680,Slight
681,Slight
682,Assistance
683,Slight
684,Slight
685,Slight
686,Slight
687,Slight
688,Slight
689,Assistance
690,Slight
691,Slight
692,Slight
693,Slight
694,Slight
695,Slight
696,Slight
697,Assistance
698,Assistance
699,Slight
700,Slight
701,Assistance
702,Assistance
703,Assistance
704,Slight
705,Slight
706,Assistance
707,Slight
708,Slight
709,Assistance
710,Slight
711,Slight
712,Assistance
713,Slight
714,Slight
715,Assistance
716,Slight
717,Slight
718,Assistance
719,Slight
720,Assistance
721,Assistance
722,Slight
723,Slight
724,Slight
725,Slight
726,Slight
727,Slight
728,Slight
729,Assistance
730,Slight
731,Assistance
732,Assistance
733,Slight
734,Slight
735,Slight
736,Slight
737,Slight
738,Assistance
739,Slight
740,Slight
741,Slight
742,Slight
743,Slight
744,Assistance
745,Slight
746,Slight
747,Slight
748,Slight
749,Slight
750,Slight
751,Slight
752,Slight
753,Assistance
754,Slight
755,Assistance
756,Slight
757,Slight
758,Assistance
759,Slight
760,Slight
761,Slight
762,Slight
763,Assistance
764,Assistance
765,Slight
766,Slight
767,Slight
768,Assistance
769,Slight
770,Slight
771,Assistance
772,Assistance
773,Slight
774,Assistance
775,Assistance
776,Slight
777,Assistance
778,Assistance
779,Assistance
780,Assistance
781,Slight
782,Slight
783,Slight
784,Slight
785,Assistance
786,Slight
787,Slight
788,Slight
789,Assistance
790,Slight
791,Slight
792,Assistance
793,Slight
794,Slight
795,Assistance
796,Slight
797,Assistance
798,Slight
799,Slight
800,Slight
801,Slight
802,Slight
803,Assistance
804,Slight
805,Slight
806,Slight
807,Slight
808,Slight
809,Slight
810,Slight
811,Slight
812,Slight
813,Assistance
814,Slight
815,Slight
816,Slight
817,Slight
818,Slight
819,Slight
820,Assistance
821,Assistance
822,Slight
823,Slight
824,Slight
825,Slight
826,Assistance
827,Slight
828,Slight
829,Slight
830,Slight
831,Slight
832,Slight
833,Slight
834,Assistance
835,Assistance
836,Assistance
837,Slight
838,Slight
839,Slight
840,Slight
841,Slight
842,Assistance
843,Slight
844,Slight
845,Slight
846,Slight
847,Slight
848,Assistance
849,Slight
850,Slight
851,Slight
852,Slight
853,Slight
854,Assistance
855,Slight
856,Slight
857,Slight
858,Slight
859,Slight
860,Assistance
861,Slight
862,Slight
863,Slight
864,Slight
865,Slight
866,Slight
867,Assistance
868,Slight
869,Slight
870,Slight
871,Assistance
872,Slight
873,Slight
874,Slight
875,Assistance
876,Assistance
877,Slight
878,Slight
879,Slight
880,Slight
881,Assistance
882,Slight
883,Slight
884,Assistance
885,Assistance
886,Slight
887,Assistance
888,Assistance
889,Slight
890,Slight
891,Slight
892,Assistance
893,Slight
894,Slight
895,Slight
896,Assistance
897,Slight
898,Assistance
899,Slight
900,Assistance
901,Slight
902,Slight
903,Slight
904,Slight
905,Slight
906,Assistance
907,Slight
908,Slight
909,Slight
910,Slight
911,Slight
912,Slight
913,Slight
914,Slight
915,Slight
916,Assistance
917,Slight
918,Assistance
919,Slight
920,Assistance
921,Slight
922,Assistance
923,Slight
924,Slight
925,Slight
926,Slight
927,Slight
928,Slight
929,Slight
930,Slight
931,Slight
932,Slight
933,Slight
934,Slight
935,Assistance
936,Slight
937,Assistance
938,Assistance
939,Assistance
940,Slight
941,Slight
942,Slight
943,Slight
944,Slight
945,Slight
946,Assistance
947,Slight
948,Slight
949,Slight
950,Slight
951,Assistance
952,Slight
953,Slight
954,Slight
955,Slight
956,Slight
957,Assistance
958,Slight
959,Slight
960,Assistance
961,Assistance
962,Slight
963,Assistance
964,Slight
965,Assistance
966,Slight
967,Slight
968,Slight
969,Slight
970,Slight
971,Slight
972,Slight
973,Slight
974,Assistance
975,Slight
976,Slight
977,Slight
978,Assistance
979,Slight
980,Assistance
981,Slight
982,Assistance
983,Slight
984,Slight
985,Assistance
986,Assistance
987,Slight
988,Slight
989,Assistance
990,Slight
991,Slight
992,Slight
993,Assistance
994,Slight
995,Slight
996,Slight
997,Slight
998,Slight
999,Slight
1000,Slight
1001,Slight
1002,Slight
1003,Slight
1004,Slight
1005,Slight
1006,Assistance
1007,Assistance
1008,Slight
1009,Slight
1010,Slight
1011,Assistance
1012,Slight
1013,Assistance
1014,Slight
1015,Slight
1016,Slight
1017,Slight
1018,Slight
1019,Slight
1020,Slight
1021,Slight
1022,Assistance
1023,Slight
1024,Slight
1025,Slight
1026,Slight
1027,Slight
1028,Slight
1029,Slight
1030,Slight
1031,Slight
1032,Slight
1033,Slight
1034,Slight
1035,Slight
1036,Assistance
1037,Slight
1038,Slight
1039,Slight
1040,Slight
1041,Assistance
1042,Slight
1043,Assistance
1044,Assistance
1045,Slight
1046,Slight
1047,Assistance
1048,Slight
1049,Slight
1050,Assistance
1051,Slight
1052,Slight
1053,Slight
1054,Assistance
1055,Assistance
1056,Slight
1057,Assistance
1058,Slight
1059,Slight
1060,Slight
1061,Assistance
1062,Slight
1063,Slight
1064,Slight
1065,Slight
1066,Slight
1067,Slight
1068,Slight
1069,Slight
1070,Assistance
1071,Slight
1072,Slight
1073,Assistance
1074,Slight
1075,Slight
1076,Slight
1077,Assistance
1078,Slight
1079,Slight
1080,Slight
1081,Slight
1082,Assistance
1083,Assistance
1084,Slight
1085,Slight
1086,Slight
1087,Slight
1088,Assistance
1089,Slight
1090,Assistance
1091,Assistance
1092,Slight
1093,Slight
1094,Slight
1095,Slight
1096,Slight
1097,Slight
1098,Assistance
1099,Slight
1100,Slight
1101,Slight
1102,Slight
1103,Slight
1104,Slight
1105,Slight
1106,Slight
1107,Slight
1108,Assistance
1109,Slight
1110,Slight
1111,Slight
1112,Assistance
1113,Slight
1114,Slight
1115,Slight
1116,Slight
1117,Slight
1118,Assistance
1119,Slight
1120,Slight
1121,Assistance
1122,Slight
1123,Slight
1124,Assistance
1125,Slight
1126,Slight
1127,Slight
1128,Slight
1129,Assistance
1130,Slight
1131,Slight
1132,Slight
1133,Assistance
1134,Slight
1135,Slight
1136,Assistance
1137,Slight
1138,Slight
1139,Slight
1140,Slight
1141,Assistance
1142,Slight
1143,Slight
1144,Slight
1145,Slight
1146,Slight
1147,Slight
1148,Assistance
1149,Slight
1150,Assistance
1151,Assistance
1152,Slight
1153,Slight
1154,Slight
1155,Slight
1156,Slight
1157,Assistance
1158,Slight
1159,Slight
1160,Slight
1161,Slight
1162,Assistance
1163,Slight
1164,Slight
1165,Slight
1166,Slight
1167,Slight
1168,Slight
1169,Slight
1170,Slight
1171,Slight
1172,Slight
1173,Assistance
1174,Slight
1175,Slight
1176,Slight
1177,Slight
1178,Slight
1179,Slight
1180,Slight
1181,Assistance
1182,Slight
1183,Slight
1184,Slight
1185,Slight
1186,Slight
1187,Slight
1188,Assistance
1189,Assistance
1190,Assistance
1191,Slight
1192,Slight
1193,Slight
1194,Slight
1195,Slight
1196,Slight
1197,Assistance
1198,Slight
1199,Slight
1200,Slight
1201,Slight
1202,Slight
1203,Assistance
1204,Slight
1205,Assistance
1206,Assistance
1207,Slight
1208,Assistance
1209,Assistance
1210,Slight
1211,Slight
1212,Slight
1213,Slight
1214,Slight
1215,Assistance
1216,Slight
1217,Slight
1218,Slight
1219,Assistance
1220,Slight
1221,Slight
1222,Slight
1223,Slight
1224,Slight
1225,Slight
1226,Slight
1227,Assistance
1228,Slight
1229,Slight
1230,Assistance
1231,Assistance
1232,Slight
1233,Slight
1234,Assistance
1235,Assistance
1236,Slight
1237,Slight
1238,Slight
1239,Slight
1240,Assistance
1241,Slight
1242,Assistance
1243,Slight
1244,Assistance
1245,Slight
1246,Assistance
1247,Slight
1248,Slight
1249,Slight
1250,Assistance
1251,Slight
1252,Slight
1253,Slight
1254,Slight
1255,Slight
1256,Slight
1257,Slight
1258,Slight
1259,Slight
1260,Slight
1261,Slight
1262,Slight
1263,Slight
1264,Slight
1265,Slight
1266,Slight
1267,Assistance
1268,Slight
1269,Slight
1270,Slight
1271,Slight
1272,Assistance
1273,Slight
1274,Slight
1275,Slight
1276,Assistance
1277,Slight
1278,Slight
1279,Assistance
1280,Slight
1281,Assistance
1282,Slight
1283,Slight
1284,Slight
1285,Slight
1286,Slight
1287,Assistance
1288,Assistance
1289,Slight
1290,Slight
1291,Slight
1292,Assistance
1293,Slight
1294,Slight
1295,Slight
1296,Slight
1297,Slight
1298,Slight
1299,Slight
1300,Slight
1301,Assistance
1302,Slight
1303,Slight
1304,Slight
1305,Assistance
1306,Slight
1307,Slight
1308,Assistance
1309,Slight
1310,Assistance
1311,Slight
1312,Slight
1313,Slight
1314,Slight
1315,Slight
1316,Assistance
1317,Slight
1318,Slight
1319,Slight
1320,Assistance
1321,Slight
1322,Assistance
1323,Slight
1324,Slight
1325,Assistance
1326,Assistance
1327,Assistance
1328,Slight
1329,Slight
1330,Slight
1331,Slight
1332,Slight
1333,Slight
1334,Slight
1335,Slight
1336,Slight
1337,Assistance
1338,Slight
1339,Assistance
1340,Slight
1341,Slight
1342,Assistance
1343,Slight
1344,Slight
1345,Slight
1346,Slight
1347,Assistance
1348,Slight
1349,Slight
1350,Slight
1351,Slight
1352,Assistance
1353,Slight
1354,Slight
1355,Slight
1356,Assistance
1357,Slight
1358,Slight
1359,Slight
1360,Slight
1361,Slight
1362,Slight
1363,Slight
1364,Slight
1365,Slight
1366,Slight
1367,Assistance
1368,Slight
1369,Slight
1370,Slight
1371,Assistance
1372,Slight
1373,Slight
1374,Assistance
1375,Slight
1376,Slight
1377,Slight
1378,Assistance
1379,Assistance
1380,Slight
1381,Slight
1382,Assistance
1383,Slight
1384,Slight
1385,Slight
1386,Slight
1387,Slight
1388,Slight
1389,Assistance
1390,Slight
1391,Assistance
1392,Slight
1393,Slight
1394,Slight
