,Casualty Severity
19990,Slight
18338,Slight
24243,Slight
26440,Slight
31578,Slight
268,Slight
2060,Slight
6148,Slight
1122,Slight
6442,Slight
11801,Slight
16158,Slight
29309,Slight
17914,Slight
29006,Slight
2560,Slight
15039,Slight
1276,Slight
11975,Slight
3058,Slight
6528,Slight
10233,Slight
21018,Slight
2208,Slight
34573,Slight
21936,Slight
7217,Slight
13554,Slight
17371,Slight
27602,Slight
11279,Slight
23922,Slight
11550,Slight
14463,Slight
14937,Slight
24810,Slight
34071,Slight
1516,Slight
5415,Slight
18238,Slight
12664,Slight
5266,Slight
31264,Slight
12382,Slight
29007,Slight
5268,Slight
5109,Slight
12941,Slight
16559,Slight
192,Slight
17457,Slight
19846,Slight
5193,Slight
29479,Slight
5738,Slight
16822,Slight
27543,Slight
20053,Slight
10795,Slight
29162,Slight
14587,Slight
6056,Slight
25325,Slight
12924,Slight
11393,Slight
34106,Slight
1373,Slight
24263,Slight
9158,Slight
1177,Slight
20145,Slight
29960,Slight
29007,Slight
35693,Slight
35411,Slight
19852,Slight
8777,Slight
35258,Slight
16662,Slight
11603,Slight
20837,Slight
8007,Slight
9821,Slight
20295,Slight
13315,Slight
28598,Slight
18321,Slight
20540,Slight
31611,Slight
5527,Slight
23021,Slight
32741,Slight
13795,Slight
6507,Slight
9112,Slight
25303,Slight
2613,Slight
25958,Slight
6696,Slight
17005,Slight
26741,Slight
26740,Slight
35045,Slight
19631,Slight
12245,Slight
5529,Slight
16915,Slight
33287,Slight
9433,Slight
5355,Slight
4746,Slight
30134,Slight
19721,Slight
30643,Slight
700,Slight
15830,Slight
922,Slight
13691,Slight
28256,Slight
19823,Slight
28435,Slight
5415,Slight
19186,Slight
6057,Slight
20565,Slight
1066,Slight
16158,Slight
3884,Slight
17366,Slight
14116,Slight
7725,Slight
10670,Slight
24853,Slight
31701,Slight
25304,Slight
26740,Slight
8540,Slight
2674,Slight
31581,Slight
8503,Slight
6451,Slight
17588,Slight
1552,Slight
32808,Slight
29091,Slight
6851,Slight
7256,Slight
28235,Slight
1153,Slight
34817,Slight
12185,Slight
20296,Slight
9089,Slight
4670,Slight
23603,Slight
8031,Slight
31328,Slight
1490,Slight
8156,Slight
9234,Slight
34615,Slight
13326,Slight
26907,Slight
6705,Slight
4372,Slight
20652,Slight
1053,Slight
462,Slight
5268,Slight
6720,Slight
26700,Slight
32262,Slight
5431,Slight
28672,Slight
31502,Slight
8048,Slight
19973,Slight
1552,Slight
34051,Slight
17366,Slight
14446,Slight
1373,Slight
1008,Slight
3359,Slight
23572,Slight
5791,Slight
24672,Slight
34102,Slight
31885,Slight
35408,Slight
34827,Slight
10252,Slight
25267,Slight
9158,Slight
17735,Slight
29008,Slight
8775,Slight
14174,Slight
34169,Slight
916,Slight
34648,Slight
8672,Slight
4761,Slight
15996,Slight
17443,Slight
12917,Slight
34571,Slight
18148,Slight
1010,Slight
13558,Slight
4481,Slight
29008,Slight
12793,Slight
8047,Slight
31255,Slight
4912,Slight
13660,Slight
24853,Slight
23574,Slight
17192,Slight
31179,Slight
8949,Slight
29812,Slight
16747,Slight
23021,Slight
1298,Slight
10094,Slight
6697,Slight
8752,Slight
31611,Slight
11605,Slight
15345,Slight
30106,Slight
27738,Slight
14459,Slight
8604,Slight
11518,Slight
16768,Slight
11319,Slight
11947,Slight
34818,Slight
31893,Slight
26695,Slight
1993,Slight
3081,Slight
18285,Slight
31750,Slight
3202,Slight
22355,Slight
9771,Slight
26412,Slight
9111,Slight
34429,Slight
17213,Slight
11578,Slight
3064,Slight
27104,Slight
13313,Slight
7216,Slight
31886,Slight
4917,Slight
15912,Slight
23918,Slight
11882,Slight
9553,Slight
7307,Slight
32121,Slight
7025,Slight
17919,Slight
19831,Slight
14459,Slight
405,Slight
17918,Slight
8751,Slight
19843,Slight
19579,Slight
10400,Slight
16646,Slight
29103,Slight
4762,Slight
25211,Slight
31421,Slight
1246,Slight
25554,Slight
10364,Slight
404,Slight
696,Slight
34616,Slight
18594,Slight
12037,Slight
25303,Slight
34641,Slight
23604,Slight
34655,Slight
27226,Slight
3312,Slight
111,Slight
5742,Slight
6898,Slight
24383,Slight
30644,Slight
21295,Slight
30868,Slight
21017,Slight
21907,Slight
16867,Slight
12381,Slight
115,Slight
8779,Slight
3787,Slight
16864,Slight
34705,Slight
8848,Slight
14462,Slight
34826,Slight
33542,Slight
18199,Slight
14845,Slight
689,Slight
32495,Slight
52,Slight
15428,Slight
1129,Slight
27785,Slight
11983,Slight
17492,Slight
3301,Slight
29376,Slight
18426,Slight
11881,Slight
27672,Slight
21294,Slight
20607,Slight
31392,Slight
6306,Slight
13379,Slight
339,Slight
17125,Slight
26138,Slight
20606,Slight
23472,Slight
35140,Slight
10475,Slight
19719,Slight
3212,Slight
10753,Slight
5698,Slight
34338,Slight
5161,Slight
14550,Slight
21390,Slight
3214,Slight
34830,Slight
34169,Slight
5189,Slight
23711,Slight
29959,Slight
21147,Slight
13558,Slight
3884,Slight
19824,Slight
6058,Slight
30515,Slight
13553,Slight
26576,Slight
17015,Slight
10475,Slight
1007,Slight
20903,Slight
1590,Slight
29721,Slight
407,Slight
10726,Slight
8804,Slight
889,Slight
3875,Slight
2886,Slight
9522,Slight
11881,Slight
7029,Slight
27738,Slight
27168,Slight
14550,Slight
25212,Slight
