,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
10908,380710,383800,3,1,2,1,50,1,1,2,17,9,2,2,2,1,4,Assistance,-2.291257,53.350721
10909,380710,383800,3,1,2,1,50,1,1,2,17,9,4,2,2,1,4,Assistance,-2.291257,53.350721
33890,380714,383798,3,1,2,1,50,1,1,7,10,9,9,4,2,1,4,Slight,-2.291184,53.35073
33891,380714,383798,3,1,2,1,50,1,1,7,10,9,2,2,2,1,4,Slight,-2.291184,53.35073
30548,380715,384111,3,1,4,2,50,1,2,6,17,9,10,2,1,1,4,Assistance,-2.291202,53.353517
30549,380715,384111,3,1,4,2,50,1,2,6,17,9,16,1,1,1,4,Assistance,-2.291202,53.353517
30550,380715,384111,3,1,4,2,50,1,2,6,17,9,9,4,1,1,4,Assistance,-2.291202,53.353517
30551,380715,384111,3,1,4,2,50,1,2,6,17,9,2,2,1,1,4,Assistance,-2.291202,53.353517
30552,380715,384111,3,1,4,2,50,1,2,6,17,9,10,2,1,2,3,Slight,-2.291202,53.353517
30553,380715,384111,3,1,4,2,50,1,2,6,17,9,16,1,1,2,3,Slight,-2.291202,53.353517
30554,380715,384111,3,1,4,2,50,1,2,6,17,9,9,4,1,2,3,Slight,-2.291202,53.353517
30555,380715,384111,3,1,4,2,50,1,2,6,17,9,2,2,1,2,3,Slight,-2.291202,53.353517
26222,379290,384540,1,1,3,2,70,1,2,7,41,9,16,2,1,1,3,Assistance,-2.312638,53.357319
26223,379290,384540,1,1,3,2,70,1,2,7,41,9,10,3,1,1,3,Assistance,-2.312638,53.357319
26224,379290,384540,1,1,3,2,70,1,2,7,41,9,12,1,1,1,3,Assistance,-2.312638,53.357319
3783,380790,384600,3,1,2,2,40,4,2,2,45,9,7,5,1,2,3,Slight,-2.290104,53.357914
3784,380790,384600,3,1,2,2,40,4,2,2,45,9,2,2,1,2,3,Slight,-2.290104,53.357914
3833,380790,384600,3,1,2,2,50,1,4,6,6,6,2,4,1,1,3,Assistance,-2.290104,53.357914
