,Casualty Severity
0,Assistance
1,Slight
2,Slight
3,Slight
4,Slight
5,Slight
6,Slight
7,Slight
8,Slight
9,Assistance
10,Slight
11,Slight
12,Assistance
13,Assistance
14,Assistance
15,Slight
16,Slight
17,Slight
18,Slight
19,Slight
20,Slight
21,Slight
22,Slight
23,Assistance
24,Slight
25,Slight
26,Assistance
27,Slight
28,Slight
29,Slight
30,Slight
31,Assistance
32,Slight
33,Slight
34,Assistance
35,Slight
36,Slight
37,Slight
38,Slight
39,Slight
40,Slight
41,Assistance
42,Slight
43,Slight
44,Slight
45,Slight
46,Assistance
47,Slight
48,Slight
49,Slight
50,Assistance
51,Slight
52,Slight
53,Slight
54,Slight
55,Slight
56,Assistance
57,Slight
58,Slight
59,Slight
60,Assistance
61,Assistance
62,Assistance
63,Slight
64,Slight
65,Slight
66,Assistance
67,Slight
68,Slight
69,Slight
70,Slight
71,Assistance
72,Slight
73,Slight
74,Slight
75,Slight
76,Slight
77,Slight
78,Slight
79,Slight
80,Slight
81,Slight
82,Slight
83,Slight
84,Slight
85,Slight
86,Assistance
87,Slight
88,Slight
89,Slight
90,Assistance
91,Slight
92,Slight
93,Assistance
94,Slight
95,Slight
96,Slight
97,Slight
98,Assistance
99,Assistance
100,Slight
101,Slight
102,Slight
103,Slight
104,Slight
105,Slight
106,Slight
107,Slight
108,Slight
109,Slight
110,Assistance
111,Assistance
112,Slight
113,Slight
114,Slight
115,Slight
116,Slight
117,Assistance
118,Assistance
119,Slight
120,Slight
121,Slight
122,Slight
123,Slight
124,Slight
125,Assistance
126,Assistance
127,Assistance
128,Assistance
129,Slight
130,Slight
131,Assistance
132,Assistance
133,Slight
134,Assistance
135,Slight
136,Slight
137,Assistance
138,Slight
139,Slight
140,Assistance
141,Slight
142,Assistance
143,Slight
144,Slight
145,Slight
146,Assistance
147,Slight
148,Slight
149,Assistance
150,Slight
151,Slight
152,Assistance
153,Slight
154,Slight
155,Slight
156,Assistance
157,Slight
158,Assistance
159,Slight
160,Slight
161,Slight
162,Assistance
163,Slight
164,Slight
165,Assistance
166,Slight
167,Slight
168,Slight
169,Slight
170,Slight
171,Slight
172,Assistance
173,Slight
174,Slight
175,Assistance
176,Slight
177,Slight
178,Slight
179,Slight
180,Slight
181,Slight
182,Slight
183,Slight
184,Slight
185,Slight
186,Slight
187,Slight
188,Slight
189,Slight
190,Slight
191,Slight
192,Slight
193,Slight
194,Slight
195,Slight
196,Assistance
197,Assistance
198,Slight
199,Slight
200,Slight
201,Slight
202,Slight
203,Slight
204,Slight
205,Assistance
206,Slight
207,Slight
208,Slight
209,Slight
210,Slight
211,Slight
212,Slight
213,Slight
214,Slight
215,Slight
216,Slight
217,Slight
218,Slight
219,Slight
220,Slight
221,Assistance
222,Slight
223,Slight
224,Slight
225,Assistance
226,Slight
227,Slight
228,Assistance
229,Slight
230,Slight
231,Slight
232,Slight
233,Assistance
234,Slight
235,Slight
236,Slight
237,Slight
238,Slight
239,Slight
240,Assistance
241,Slight
242,Slight
243,Slight
244,Slight
245,Assistance
246,Slight
247,Slight
248,Slight
249,Slight
250,Slight
251,Assistance
252,Slight
253,Slight
254,Slight
255,Slight
256,Slight
257,Slight
258,Assistance
259,Slight
260,Slight
261,Slight
262,Slight
263,Assistance
264,Slight
265,Slight
266,Assistance
267,Assistance
268,Slight
269,Slight
270,Slight
271,Slight
272,Assistance
273,Slight
274,Slight
275,Slight
276,Slight
277,Slight
278,Slight
279,Assistance
280,Slight
281,Assistance
282,Assistance
283,Slight
284,Slight
285,Slight
286,Slight
287,Slight
288,Slight
289,Slight
290,Slight
291,Slight
292,Slight
293,Slight
294,Slight
295,Slight
296,Slight
297,Slight
298,Slight
299,Assistance
300,Slight
301,Assistance
302,Assistance
303,Slight
304,Slight
305,Slight
306,Slight
307,Slight
308,Slight
309,Slight
310,Slight
311,Slight
312,Slight
313,Assistance
314,Slight
315,Slight
316,Slight
317,Assistance
318,Slight
319,Slight
320,Assistance
321,Assistance
322,Slight
323,Slight
324,Slight
325,Slight
326,Slight
327,Slight
328,Slight
329,Slight
330,Assistance
331,Slight
332,Slight
333,Slight
334,Slight
335,Slight
336,Slight
337,Assistance
338,Assistance
339,Assistance
340,Slight
341,Assistance
342,Slight
343,Slight
344,Assistance
345,Slight
346,Slight
347,Slight
348,Slight
349,Slight
350,Assistance
351,Slight
352,Slight
353,Slight
354,Slight
355,Slight
356,Slight
357,Slight
358,Slight
359,Slight
360,Slight
361,Slight
362,Slight
363,Slight
364,Assistance
365,Slight
366,Slight
367,Slight
368,Slight
369,Assistance
370,Assistance
371,Assistance
372,Assistance
373,Assistance
374,Slight
375,Slight
376,Assistance
377,Assistance
378,Slight
379,Slight
380,Slight
381,Assistance
382,Assistance
383,Slight
384,Slight
385,Slight
386,Slight
387,Slight
388,Slight
389,Slight
390,Slight
