,c_m,precision,recall,f1-score,support
Slight,l_1c,0.8501291989664083,0.1843653684505463,0.3030163481464425,3569.0
Serious,l_1c,0.1245043616177636,0.3369098712446352,0.1818181818181818,466.0
Fatal,l_1c,0.0049333991119881,0.3703703703703703,0.0097370983446932,27.0
accuracy,l_1c,0.2031019202363367,0.2031019202363367,0.2031019202363367,0.2031019202363367
macro avg,l_1c,0.32652231989872,0.297215203355184,0.1648572094364392,4062.0
weighted avg,l_1c,0.7612662100937992,0.2031019202363367,0.2871628559618988,4062.0
Slight,l_2c,0.9035244922341696,0.8475763519193051,0.8746566430533468,3569.0
Serious,l_2c,0.2325925925925926,0.3369098712446352,0.2751971954425942,466.0
Fatal,l_2c,0.0,0.0,0.0,27.0
accuracy,l_2c,0.7833579517479075,0.7833579517479075,0.7833579517479075,0.7833579517479075
macro avg,l_2c,0.3787056949422541,0.3948287410546467,0.3832846128319803,4062.0
weighted avg,l_2c,0.8205482670930329,0.7833579517479075,0.8000717508945454,4062.0
Slight,l_knn,0.8929689723882721,0.8789576912300364,0.8859079356114092,3569.0
Serious,l_knn,0.1942307692307692,0.2167381974248927,0.204868154158215,466.0
Fatal,l_knn,0.1034482758620689,0.1111111111111111,0.1071428571428571,27.0
accuracy,l_knn,0.7978828163466273,0.7978828163466273,0.7978828163466273,0.7978828163466273
macro avg,l_knn,0.3968826724937034,0.4022689999220134,0.3993063156374938,4062.0
weighted avg,l_knn,0.8075605377556764,0.7978828163466273,0.802601388276146,4062.0
Slight,m_1c,0.9723034913204603,0.4686031208873848,0.6324135743736123,10638.0
Serious,m_1c,0.0193926088547383,0.4362139917695473,0.0371343492730775,243.0
Fatal,m_1c,0.0,0.0,0.0,15.0
accuracy,m_1c,0.4672356828193832,0.4672356828193832,0.4672356828193832,0.4672356828193832
macro avg,m_1c,0.3305653667250662,0.3016057042189774,0.2231826412155633,10896.0
weighted avg,m_1c,0.9497133759745556,0.4672356828193832,0.6182671853028493,10896.0
Slight,m_2c,0.9811620517476168,0.8127467569091935,0.8890488431876606,10638.0
Serious,m_2c,0.0438502673796791,0.3374485596707819,0.0776147657359205,243.0
Fatal,m_2c,0.0,0.0,0.0,15.0
accuracy,m_2c,0.8010279001468429,0.8010279001468429,0.8010279001468429,0.8010279001468429
macro avg,m_2c,0.341670773042432,0.3833984388599918,0.322221202974527,10896.0
weighted avg,m_2c,0.9589076286219173,0.8010279001468429,0.8697285225682968,10896.0
Slight,m_knn,0.9758097165991902,0.906279375822523,0.9397602105468368,10638.0
Serious,m_knn,0.0182207931404072,0.0699588477366255,0.0289115646258503,243.0
Fatal,m_knn,0.0,0.0,0.0,15.0
accuracy,m_knn,0.8863803230543319,0.8863803230543319,0.8863803230543319,0.8863803230543319
macro avg,m_knn,0.3313435032465325,0.3254127411863828,0.322890591724229,10896.0
weighted avg,m_knn,0.9531104458439156,0.8863803230543319,0.9181529579663484,10896.0
