,c_m,city,model,precision,recall,f1-score,support
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9858814037918516,0.230609548971504,0.3737860365527261,10598.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0260287916242547,0.69921875,0.0501892611804289,256.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0026437541308658,0.2666666666666666,0.0052356020942408,15.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.2416965682215475,0.2416965682215475,0.2416965682215475,0.2416965682215475
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3381846498489907,0.3988316552127235,0.1430702999424653,10869.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9619168409562808,0.2416965682215475,0.3656556629201762,10869.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9769410716274924,0.827514625401019,0.8960408684546616,10598.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0580645161290322,0.03515625,0.0437956204379562,256.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0011514104778353,0.1333333333333333,0.002283105022831,15.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.8078940104885454,0.8078940104885454,0.8078940104885454,0.8078940104885454
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.34538566607812,0.3320014029114508,0.3140398646384829,10869.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9539519058233842,0.8078940104885454,0.8747342947180017,10869.0
