,Casualty Severity
3268,Slight
28080,Slight
33589,Slight
17094,Slight
10120,Slight
21136,Slight
19510,Slight
9702,Slight
14368,Slight
2390,Slight
35172,Slight
1136,Slight
2144,Slight
918,Slight
24558,Slight
5945,Slight
18844,Slight
17604,Slight
9145,Slight
20363,Slight
14457,Slight
17932,Slight
18049,Slight
9445,Slight
3689,Slight
4209,Slight
2494,Slight
36086,Slight
21493,Slight
2294,Slight
20264,Slight
7416,Slight
13376,Slight
9695,Slight
35170,Slight
3085,Slight
18072,Slight
2939,Slight
12585,Slight
16486,Slight
2938,Slight
3173,Slight
25259,Slight
23348,Slight
10018,Slight
32933,Slight
12797,Slight
15786,Slight
10890,Slight
19904,Slight
33933,Slight
19966,Slight
5580,Slight
7010,Slight
10107,Slight
2718,Slight
15783,Slight
1837,Slight
35053,Slight
30929,Slight
2390,Slight
2653,Slight
10360,Slight
21141,Slight
31116,Slight
11986,Slight
15786,Slight
13358,Slight
1136,Slight
27431,Slight
29697,Slight
12489,Slight
5187,Slight
3143,Slight
3958,Slight
33223,Slight
10765,Slight
25632,Slight
9432,Slight
1836,Slight
20191,Slight
2651,Slight
16987,Slight
21924,Slight
1868,Slight
35611,Slight
25099,Slight
15503,Slight
35090,Slight
29917,Slight
10847,Slight
35172,Slight
12101,Slight
11241,Slight
34470,Slight
21141,Slight
6421,Slight
11238,Slight
2503,Slight
3542,Slight
3953,Slight
19244,Slight
9330,Slight
2427,Slight
23490,Slight
18643,Slight
1838,Slight
32611,Slight
20227,Slight
24058,Slight
15007,Slight
17035,Slight
20543,Slight
2516,Slight
8664,Slight
30798,Slight
35500,Slight
35175,Slight
8220,Slight
19632,Slight
34454,Slight
18682,Slight
29910,Slight
29914,Slight
3087,Slight
21136,Slight
20363,Slight
14457,Slight
14864,Slight
21138,Slight
34508,Slight
12168,Slight
26459,Slight
10174,Slight
15782,Slight
18879,Slight
18050,Slight
9869,Slight
27667,Slight
1835,Slight
9004,Slight
2896,Slight
15839,Slight
22092,Slight
8222,Slight
1536,Slight
19523,Slight
8221,Slight
11572,Slight
3083,Slight
18113,Slight
15067,Slight
18784,Slight
28101,Slight
9723,Slight
2336,Slight
18682,Slight
2718,Slight
31288,Slight
32819,Slight
24558,Slight
22754,Slight
31709,Slight
16355,Slight
1688,Slight
13987,Slight
2718,Slight
18861,Slight
23143,Slight
3917,Slight
2816,Slight
8334,Slight
9148,Slight
8877,Slight
3026,Slight
20390,Slight
1136,Slight
24277,Slight
34413,Slight
29588,Slight
21871,Slight
15485,Slight
10737,Slight
3268,Slight
17094,Slight
2390,Slight
17748,Slight
3086,Slight
18542,Slight
11991,Slight
3054,Slight
24371,Slight
1131,Slight
2070,Slight
23348,Slight
35026,Slight
10059,Slight
15862,Slight
5524,Slight
30445,Slight
32819,Slight
27792,Slight
19523,Slight
917,Slight
32858,Slight
25098,Slight
34640,Slight
35570,Slight
25632,Slight
6197,Slight
9691,Slight
10019,Slight
12614,Slight
3633,Slight
18683,Slight
25441,Slight
6380,Slight
2508,Slight
27684,Slight
33462,Slight
18936,Slight
770,Slight
35063,Slight
9444,Slight
2217,Slight
27271,Slight
32861,Slight
12587,Slight
29587,Slight
23477,Slight
8555,Slight
8878,Slight
34294,Slight
11505,Slight
16158,Slight
7558,Slight
3087,Slight
14589,Slight
18185,Slight
18191,Slight
13023,Slight
30444,Slight
14181,Slight
2375,Slight
5066,Slight
25134,Slight
18186,Slight
9450,Slight
2377,Slight
2516,Slight
8980,Slight
2613,Slight
8075,Slight
28274,Slight
16660,Slight
6300,Slight
29586,Slight
5523,Slight
10661,Slight
1836,Slight
13358,Slight
5485,Slight
2970,Slight
32746,Slight
4356,Slight
16759,Slight
29584,Slight
2853,Slight
8734,Slight
29675,Slight
28739,Slight
19965,Slight
29910,Slight
1535,Slight
35989,Slight
28274,Slight
9331,Slight
16662,Slight
1133,Slight
21446,Slight
15391,Slight
10886,Slight
21083,Slight
16493,Slight
17094,Slight
9494,Slight
6195,Slight
12098,Slight
28791,Slight
17639,Slight
17094,Slight
29067,Slight
11958,Slight
18049,Slight
9444,Slight
19192,Slight
14183,Slight
23154,Slight
22358,Slight
10872,Slight
14866,Slight
3198,Slight
9703,Slight
35500,Slight
5523,Slight
6367,Slight
9447,Slight
33665,Slight
2294,Slight
22269,Slight
1470,Slight
10360,Slight
35026,Slight
26752,Slight
9448,Slight
3626,Slight
31768,Slight
17365,Slight
1136,Slight
15065,Slight
13023,Slight
35755,Slight
17129,Slight
7907,Slight
3088,Slight
3143,Slight
15829,Slight
35965,Slight
14147,Slight
23730,Slight
31117,Slight
24399,Slight
9450,Slight
20543,Slight
7695,Slight
2496,Slight
29292,Slight
13285,Slight
32860,Slight
12492,Slight
2903,Slight
2895,Slight
26190,Slight
22752,Slight
3958,Slight
3054,Slight
1691,Slight
33665,Slight
7695,Slight
2853,Slight
6491,Slight
20822,Slight
28648,Slight
31249,Slight
19426,Slight
21493,Slight
34168,Slight
2768,Slight
11612,Slight
10174,Slight
22270,Slight
9432,Slight
1835,Slight
2853,Slight
13201,Slight
34774,Slight
12098,Slight
3957,Slight
18055,Slight
7907,Slight
10018,Slight
11407,Slight
11527,Slight
458,Slight
19765,Slight
2895,Slight
27664,Slight
12399,Slight
29586,Slight
10935,Slight
25099,Slight
2853,Slight
2182,Slight
1838,Slight
20367,Slight
18860,Slight
18130,Slight
36086,Slight
10940,Slight
5476,Slight
10710,Slight
15782,Slight
1846,Slight
22752,Slight
3054,Slight
9361,Slight
34294,Slight
2181,Slight
34169,Slight
5312,Slight
10887,Slight
22814,Slight
1844,Slight
5037,Slight
5524,Slight
2652,Slight
15328,Slight
35349,Slight
15697,Slight
767,Slight
35501,Slight
35108,Slight
7976,Slight
15760,Slight
10980,Slight
12985,Slight
2555,Slight
17136,Slight
32933,Slight
918,Slight
8881,Slight
35793,Slight
7998,Slight
36089,Slight
1833,Slight
17283,Slight
18783,Slight
2495,Slight
16987,Slight
15063,Slight
24449,Slight
35173,Slight
10361,Slight
4141,Slight
10583,Slight
36089,Slight
28773,Slight
9341,Slight
4519,Slight
19193,Slight
12587,Slight
14456,Slight
6380,Slight
24277,Slight
9449,Slight
27612,Slight
10174,Slight
12524,Slight
9703,Slight
11474,Slight
31134,Slight
34168,Slight
7908,Slight
18783,Slight
13021,Slight
26028,Slight
6301,Slight
5571,Slight
29788,Slight
10018,Slight
8815,Slight
11743,Slight
18786,Slight
34059,Slight
12985,Slight
2896,Slight
6489,Slight
35170,Slight
3150,Slight
20180,Slight
25098,Slight
3564,Slight
26485,Slight
35063,Slight
22754,Slight
28080,Slight
15441,Slight
30508,Slight
23477,Slight
2181,Slight
35779,Slight
25912,Slight
31137,Slight
18113,Slight
27661,Slight
22754,Slight
1845,Slight
15829,Slight
7010,Slight
27684,Slight
9148,Slight
14147,Slight
9479,Slight
11960,Slight
34454,Slight
25607,Slight
6308,Slight
31755,Slight
10376,Slight
32861,Slight
16987,Slight
770,Slight
14415,Slight
34022,Slight
3784,Slight
8226,Slight
15539,Slight
14416,Slight
3628,Slight
36087,Slight
10879,Slight
2508,Slight
23142,Slight
9978,Slight
10454,Slight
33279,Slight
13897,Slight
33222,Slight
24883,Slight
16175,Slight
15067,Slight
10735,Slight
23144,Slight
29697,Slight
15696,Slight
5523,Slight
9260,Slight
32384,Slight
28035,Slight
17014,Slight
30346,Slight
13495,Slight
2804,Slight
26207,Slight
20543,Slight
4356,Slight
15666,Slight
29912,Slight
34640,Slight
6301,Slight
31086,Slight
19488,Slight
9148,Slight
8733,Slight
35052,Slight
23293,Slight
9145,Slight
28790,Slight
1329,Slight
21669,Slight
18909,Slight
34137,Slight
31813,Slight
35173,Slight
15063,Slight
31118,Slight
10887,Slight
35406,Slight
19510,Slight
1134,Slight
35170,Slight
2903,Slight
17595,Slight
29587,Slight
18784,Slight
9331,Slight
18383,Slight
21518,Slight
17129,Slight
6304,Slight
12596,Slight
5476,Slight
1566,Slight
10892,Slight
28525,Slight
11988,Slight
9189,Slight
22754,Slight
10361,Slight
1620,Slight
178,Slight
12986,Slight
5485,Slight
16327,Slight
18130,Slight
2395,Slight
26737,Slight
9690,Slight
20977,Slight
27835,Slight
29067,Slight
1922,Slight
27823,Slight
18056,Slight
14457,Slight
35173,Slight
32652,Slight
9338,Slight
30524,Slight
18879,Slight
21374,Slight
2217,Slight
2336,Slight
11573,Slight
19765,Slight
16673,Slight
9181,Slight
18383,Slight
8073,Slight
31672,Slight
16646,Slight
6186,Slight
19511,Slight
10980,Slight
2389,Slight
31086,Slight
5524,Slight
3566,Slight
18130,Slight
32086,Slight
35173,Slight
16661,Slight
20609,Slight
7998,Slight
12098,Slight
21602,Slight
10889,Slight
3633,Slight
30524,Slight
6367,Slight
27790,Slight
2390,Slight
26305,Slight
32384,Slight
35053,Slight
18186,Slight
16673,Slight
17282,Slight
8222,Slight
1768,Slight
9446,Slight
10885,Slight
32885,Slight
2326,Slight
35170,Slight
10889,Slight
18682,Slight
3083,Slight
9434,Slight
9361,Slight
11239,Slight
865,Slight
4142,Slight
9331,Slight
24053,Slight
1405,Slight
33302,Slight
33114,Slight
13333,Slight
865,Slight
18879,Slight
9331,Slight
18786,Slight
23348,Slight
11961,Slight
9434,Slight
13022,Slight
22752,Slight
8878,Slight
11591,Slight
10528,Slight
6309,Slight
15095,Slight
31573,Slight
15391,Slight
32885,Slight
15783,Slight
5523,Slight
12406,Slight
1846,Slight
35780,Slight
10360,Slight
20227,Slight
19965,Slight
8265,Slight
457,Slight
12524,Slight
10530,Slight
29675,Slight
30929,Slight
15788,Slight
5807,Slight
15566,Slight
13823,Slight
1405,Slight
7907,Slight
2509,Slight
18862,Slight
1837,Slight
27546,Slight
14866,Slight
31814,Slight
35108,Slight
7695,Slight
25912,Slight
4083,Slight
31131,Slight
30444,Slight
5945,Slight
11573,Slight
1620,Slight
14428,Slight
21872,Slight
6195,Slight
26737,Slight
14415,Slight
17636,Slight
16207,Slight
21668,Slight
9444,Slight
8335,Slight
29917,Slight
2970,Slight
2613,Slight
2474,Slight
17365,Slight
10826,Slight
35793,Slight
18130,Slight
24467,Slight
179,Slight
178,Slight
3198,Slight
3150,Slight
9189,Slight
7976,Slight
20191,Slight
10874,Slight
2041,Slight
2834,Slight
9189,Slight
766,Slight
30798,Slight
2853,Slight
29294,Slight
29697,Slight
23597,Slight
9146,Slight
6197,Slight
3173,Slight
10582,Slight
18908,Slight
15063,Slight
20609,Slight
16978,Slight
14415,Slight
15786,Slight
27056,Slight
13317,Slight
22869,Slight
1835,Slight
31281,Slight
18535,Slight
19056,Slight
17595,Slight
699,Slight
14414,Slight
25912,Slight
777,Slight
2509,Slight
35173,Slight
15862,Slight
5854,Slight
33114,Slight
35501,Slight
2903,Slight
2217,Slight
6309,Slight
17970,Slight
2145,Slight
8017,Slight
12407,Slight
33222,Slight
8664,Slight
9440,Slight
22358,Slight
19427,Slight
26484,Slight
27162,Slight
16175,Slight
11240,Slight
1538,Slight
34022,Slight
20505,Slight
34470,Slight
7048,Slight
1405,Slight
3143,Slight
5476,Slight
31629,Slight
13823,Slight
6422,Slight
6128,Slight
9260,Slight
12489,Slight
18317,Slight
31134,Slight
24467,Slight
5345,Slight
21923,Slight
24054,Slight
12953,Slight
3086,Slight
2816,Slight
21376,Slight
8227,Slight
26305,Slight
12986,Slight
35900,Slight
