,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
30970,430627,379781,3,1,2,1,30,1,1,2,10,9,5,5,1,2,4,Assistance,-1.541762,53.314101
9182,430880,379830,3,1,2,1,30,1,1,5,44,7,3,4,1,2,3,Assistance,-1.537958,53.314496
9183,430880,379830,3,1,2,1,30,1,1,5,44,7,2,2,1,2,3,Assistance,-1.537958,53.314496
10935,427120,379880,3,1,1,1,60,1,1,7,28,9,4,2,1,1,2,Slight,-1.594389,53.31515
10936,427120,379880,3,1,1,1,60,1,1,7,28,9,4,2,2,2,3,Assistance,-1.594389,53.31515
12879,429310,379970,6,2,2,1,30,1,1,3,16,3,10,1,1,1,3,Assistance,-1.56151,53.315843
34448,432888,380102,6,1,3,1,20,1,1,5,52,9,15,2,2,2,4,Assistance,-1.507793,53.316851
34448,432888,380102,6,1,3,1,20,1,1,5,52,9,15,2,2,2,4,Assistance,-1.507793,53.316851
34448,432888,380102,6,1,3,1,20,1,1,5,52,9,15,2,2,2,4,Assistance,-1.507793,53.316851
34448,432888,380102,6,1,3,1,20,1,1,5,52,9,15,2,2,2,4,Assistance,-1.507793,53.316851
2012,432860,380170,4,2,2,2,30,3,5,4,44,9,8,2,1,1,3,Assistance,-1.508204,53.317433
24558,432865,380180,4,1,2,1,30,1,1,6,16,11,2,4,1,1,3,Slight,-1.508128,53.317523
24559,432865,380180,4,1,2,1,30,1,1,6,16,11,1,4,1,1,3,Slight,-1.508128,53.317523
24560,432865,380180,4,1,2,1,30,1,1,6,16,11,2,4,2,2,4,Assistance,-1.508128,53.317523
24561,432865,380180,4,1,2,1,30,1,1,6,16,11,1,4,2,2,4,Assistance,-1.508128,53.317523
10526,431750,380200,3,2,4,1,30,3,1,7,20,9,9,4,1,2,3,Assistance,-1.524862,53.31777
10527,431750,380200,3,2,4,1,30,3,1,7,20,9,6,1,1,2,3,Assistance,-1.524862,53.31777
15580,426630,380230,3,1,2,1,30,1,1,2,12,3,5,2,1,1,3,Assistance,-1.601715,53.318321
28598,426635,380232,3,2,1,1,60,2,1,6,8,9,13,2,1,1,3,Assistance,-1.60164,53.318339
32652,426635,380231,3,2,1,4,60,2,8,7,2,9,9,2,1,1,2,Slight,-1.601641,53.31836
32653,426635,380231,3,2,1,4,60,2,8,7,2,9,9,2,2,2,2,Assistance,-1.601641,53.31836
33344,426629,380232,3,2,1,2,50,2,7,5,21,9,12,2,1,2,2,Slight,-1.601731,53.31837
5558,433110,380250,4,2,1,1,30,1,1,5,27,9,9,1,1,1,3,Slight,-1.504443,53.318136
8309,433110,380250,4,2,2,1,30,1,1,7,15,7,9,5,1,1,3,Assistance,-1.504443,53.318136
8310,433110,380250,4,2,2,1,30,1,1,7,15,7,7,2,1,1,3,Assistance,-1.504443,53.318136
14147,433110,380250,4,2,2,1,30,1,1,3,40,3,2,4,1,1,1,Slight,-1.504443,53.318136
