,Casualty Severity
0,Slight
1,Slight
2,Slight
3,Slight
4,Slight
5,Slight
6,Assistance
7,Assistance
8,Assistance
9,Assistance
10,Assistance
11,Slight
12,Slight
13,Assistance
14,Assistance
15,Slight
16,Assistance
17,Assistance
18,Assistance
19,Slight
20,Slight
21,Slight
22,Assistance
23,Assistance
24,Assistance
25,Assistance
26,Slight
27,Assistance
28,Assistance
29,Assistance
30,Slight
31,Slight
32,Assistance
33,Assistance
34,Assistance
35,Slight
36,Assistance
37,Slight
38,Assistance
39,Assistance
40,Slight
41,Slight
42,Assistance
43,Slight
44,Assistance
45,Slight
46,Slight
47,Assistance
48,Slight
49,Slight
50,Assistance
51,Slight
52,Slight
53,Assistance
54,Slight
55,Assistance
56,Assistance
57,Assistance
58,Slight
59,Assistance
60,Slight
61,Slight
62,Slight
63,Slight
64,Slight
65,Slight
66,Assistance
67,Slight
68,Slight
69,Slight
70,Slight
71,Slight
72,Slight
73,Slight
74,Assistance
75,Slight
76,Slight
77,Slight
78,Assistance
79,Assistance
80,Assistance
81,Slight
82,Slight
83,Assistance
84,Slight
85,Slight
86,Assistance
87,Slight
88,Slight
89,Slight
90,Slight
91,Assistance
92,Slight
93,Slight
94,Assistance
95,Assistance
96,Assistance
97,Assistance
98,Assistance
99,Assistance
100,Assistance
101,Slight
102,Slight
103,Slight
104,Assistance
105,Slight
106,Assistance
107,Assistance
108,Slight
109,Slight
110,Slight
111,Slight
112,Assistance
113,Assistance
114,Slight
115,Assistance
116,Assistance
117,Slight
118,Slight
119,Slight
120,Assistance
121,Slight
122,Assistance
123,Slight
124,Assistance
125,Slight
126,Assistance
127,Slight
128,Assistance
129,Slight
130,Slight
131,Assistance
132,Assistance
133,Slight
134,Assistance
135,Assistance
136,Slight
137,Slight
138,Slight
139,Slight
140,Assistance
141,Assistance
142,Slight
143,Assistance
144,Slight
145,Slight
146,Slight
147,Slight
148,Assistance
149,Assistance
150,Slight
151,Slight
152,Slight
153,Slight
154,Assistance
155,Slight
156,Assistance
157,Slight
158,Assistance
159,Slight
160,Slight
161,Slight
162,Slight
163,Slight
164,Assistance
165,Slight
166,Slight
167,Slight
168,Slight
169,Slight
170,Assistance
171,Slight
172,Assistance
173,Assistance
174,Assistance
175,Slight
176,Assistance
177,Slight
178,Slight
179,Slight
180,Assistance
181,Assistance
182,Slight
183,Assistance
184,Slight
185,Slight
186,Assistance
187,Slight
188,Assistance
189,Slight
190,Slight
191,Slight
192,Assistance
193,Slight
194,Slight
195,Assistance
196,Assistance
197,Slight
198,Slight
199,Assistance
200,Assistance
201,Slight
202,Assistance
203,Slight
204,Slight
205,Slight
206,Assistance
207,Slight
208,Assistance
209,Slight
210,Slight
211,Assistance
212,Slight
213,Slight
214,Slight
215,Assistance
216,Slight
217,Slight
218,Slight
219,Slight
220,Assistance
221,Slight
222,Slight
223,Slight
224,Assistance
225,Assistance
226,Slight
227,Slight
228,Slight
229,Assistance
230,Assistance
231,Slight
232,Slight
233,Assistance
234,Assistance
235,Slight
236,Assistance
237,Slight
238,Slight
239,Slight
240,Assistance
241,Slight
242,Slight
243,Assistance
244,Assistance
245,Slight
246,Assistance
247,Assistance
248,Slight
249,Slight
250,Slight
