,Casualty Severity
10418,Slight
10362,Slight
457,Slight
8115,Slight
13885,Slight
10050,Slight
13864,Slight
15461,Slight
7239,Slight
11301,Slight
10404,Slight
11368,Slight
13865,Slight
7953,Slight
3760,Slight
16523,Slight
10572,Slight
7560,Slight
14065,Slight
5109,Slight
13619,Slight
17173,Slight
7685,Slight
5317,Slight
612,Slight
6282,Slight
2495,Slight
9459,Slight
7206,Slight
13736,Slight
3607,Slight
10110,Slight
17301,Slight
7248,Slight
9695,Slight
11108,Slight
6026,Slight
3054,Slight
9419,Slight
2530,Slight
13373,Slight
3349,Slight
6026,Slight
12320,Slight
887,Slight
9591,Slight
8947,Slight
9782,Slight
5505,Slight
14203,Slight
13867,Slight
3121,Slight
5994,Slight
5879,Slight
6430,Slight
11912,Slight
6869,Slight
882,Slight
10311,Slight
2444,Slight
8111,Slight
9216,Slight
9801,Slight
15337,Slight
8671,Slight
12720,Slight
11108,Slight
12097,Slight
604,Slight
10523,Slight
4534,Slight
2097,Slight
13420,Slight
612,Slight
14296,Slight
18209,Slight
16649,Slight
1766,Slight
3792,Slight
6209,Slight
12603,Slight
182,Slight
12150,Slight
7824,Slight
4980,Slight
5900,Slight
278,Slight
13510,Slight
5833,Slight
13353,Slight
9464,Slight
1437,Slight
5259,Slight
982,Slight
12603,Slight
13571,Slight
9765,Slight
10487,Slight
9015,Slight
1436,Slight
9040,Slight
2647,Slight
13453,Slight
6443,Slight
13826,Slight
10636,Slight
12557,Slight
6041,Slight
8162,Slight
8334,Slight
5879,Slight
9103,Slight
13582,Slight
7352,Slight
1576,Slight
3488,Slight
17150,Slight
8546,Slight
16431,Slight
16732,Slight
7683,Slight
16500,Slight
16747,Slight
6869,Slight
7025,Slight
5535,Slight
3608,Slight
1816,Slight
252,Slight
5847,Slight
6564,Slight
583,Slight
13198,Slight
887,Slight
228,Slight
1019,Slight
9242,Slight
9197,Slight
1613,Slight
6436,Slight
3640,Slight
14149,Slight
12602,Slight
13743,Slight
10890,Slight
5545,Slight
3989,Slight
