,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
2257,533710,170810,3,1,3,1,30,1,1,5,45,6,6,3,1,1,3,Slight,-0.078384,51.420484
2258,533710,170810,3,1,3,1,30,1,1,5,45,6,4,2,1,1,3,Slight,-0.078384,51.420484
2567,533710,170810,3,2,1,1,30,1,1,7,10,11,3,2,2,2,1,Slight,-0.078384,51.420484
7797,533710,170810,3,1,1,1,30,1,1,6,19,2,12,2,3,1,2,Slight,-0.078384,51.420484
10168,533710,170810,3,1,1,2,30,1,2,1,6,2,6,2,3,1,3,Slight,-0.078384,51.420484
12333,533710,170810,3,1,1,1,30,1,1,4,50,2,13,2,3,1,1,Slight,-0.078384,51.420485
12555,533710,170820,3,1,3,1,30,3,1,2,8,9,4,2,1,1,2,Slight,-0.078401,51.42063
12556,533710,170820,3,1,3,1,30,3,1,2,8,9,14,3,1,1,2,Slight,-0.078401,51.42063
12557,533710,170820,3,1,3,1,30,3,1,2,8,9,12,3,1,1,2,Slight,-0.078401,51.42063
13434,533710,170810,3,2,1,1,30,1,1,4,41,2,5,5,3,1,3,Slight,-0.078404,51.420541
13915,533700,170820,3,1,1,2,30,1,1,5,3,2,13,5,3,2,3,Slight,-0.078524,51.420577
14611,533710,170820,3,1,1,2,30,1,2,2,24,2,4,5,3,1,1,Assistance,-0.078381,51.420575
2257,533710,170810,3,1,3,1,30,1,1,5,45,6,6,3,1,1,3,Slight,-0.078384,51.420484
2258,533710,170810,3,1,3,1,30,1,1,5,45,6,4,2,1,1,3,Slight,-0.078384,51.420484
2567,533710,170810,3,2,1,1,30,1,1,7,10,11,3,2,2,2,1,Slight,-0.078384,51.420484
7797,533710,170810,3,1,1,1,30,1,1,6,19,2,12,2,3,1,2,Slight,-0.078384,51.420484
10168,533710,170810,3,1,1,2,30,1,2,1,6,2,6,2,3,1,3,Slight,-0.078384,51.420484
12333,533710,170810,3,1,1,1,30,1,1,4,50,2,13,2,3,1,1,Slight,-0.078384,51.420485
12555,533710,170820,3,1,3,1,30,3,1,2,8,9,4,2,1,1,2,Slight,-0.078401,51.42063
12556,533710,170820,3,1,3,1,30,3,1,2,8,9,14,3,1,1,2,Slight,-0.078401,51.42063
12557,533710,170820,3,1,3,1,30,3,1,2,8,9,12,3,1,1,2,Slight,-0.078401,51.42063
13434,533710,170810,3,2,1,1,30,1,1,4,41,2,5,5,3,1,3,Slight,-0.078404,51.420541
14611,533710,170820,3,1,1,2,30,1,2,2,24,2,4,5,3,1,1,Assistance,-0.078381,51.420575
541,533740,170880,3,1,1,1,30,1,1,3,24,2,2,4,3,2,2,Assistance,-0.077926,51.421106
2495,533730,170870,3,1,1,1,30,3,1,6,45,11,3,1,2,1,4,Slight,-0.078074,51.421019
