,Casualty Severity
0,Slight
1,Slight
2,Slight
3,Slight
4,Slight
5,Slight
6,Slight
7,Slight
8,Slight
9,Slight
10,Slight
11,Assistance
12,Assistance
13,Slight
14,Slight
15,Slight
16,Assistance
17,Slight
18,Assistance
19,Slight
20,Slight
21,Slight
22,Slight
23,Assistance
24,Slight
25,Slight
26,Slight
27,Slight
28,Assistance
29,Slight
30,Slight
31,Assistance
32,Slight
33,Assistance
34,Assistance
35,Slight
36,Slight
37,Assistance
38,Slight
39,Slight
40,Slight
41,Slight
42,Slight
43,Slight
44,Slight
45,Slight
46,Slight
47,Slight
48,Slight
49,Slight
50,Slight
51,Slight
52,Slight
53,Slight
54,Slight
55,Slight
56,Slight
57,Assistance
58,Assistance
59,Slight
60,Assistance
61,Slight
62,Slight
63,Slight
64,Slight
65,Slight
66,Slight
67,Slight
68,Slight
69,Slight
70,Slight
71,Slight
72,Slight
73,Slight
74,Assistance
75,Slight
76,Assistance
77,Slight
78,Slight
79,Slight
80,Assistance
81,Slight
82,Slight
83,Slight
84,Slight
85,Slight
86,Slight
87,Slight
88,Slight
89,Assistance
90,Slight
91,Slight
92,Assistance
93,Slight
94,Slight
95,Slight
96,Slight
97,Slight
98,Slight
99,Slight
100,Slight
101,Assistance
102,Slight
103,Slight
104,Assistance
105,Slight
106,Assistance
107,Slight
108,Slight
109,Assistance
110,Slight
111,Slight
112,Assistance
113,Slight
114,Assistance
115,Assistance
116,Slight
117,Slight
118,Slight
119,Assistance
120,Slight
121,Slight
122,Slight
123,Slight
124,Slight
125,Slight
126,Slight
127,Slight
128,Slight
129,Slight
130,Slight
131,Slight
132,Slight
133,Slight
134,Slight
135,Slight
136,Slight
137,Slight
138,Slight
139,Slight
140,Slight
141,Assistance
142,Slight
143,Assistance
144,Slight
145,Assistance
146,Slight
147,Slight
148,Slight
149,Slight
150,Slight
151,Slight
152,Slight
153,Slight
154,Assistance
155,Slight
156,Slight
157,Slight
158,Slight
159,Assistance
160,Slight
161,Slight
162,Slight
163,Slight
164,Assistance
165,Assistance
166,Slight
167,Slight
168,Slight
169,Slight
170,Slight
171,Slight
172,Slight
173,Assistance
174,Slight
175,Slight
176,Assistance
177,Slight
178,Slight
179,Slight
180,Slight
181,Slight
182,Slight
183,Slight
184,Assistance
185,Slight
186,Slight
187,Slight
188,Slight
189,Slight
190,Slight
191,Assistance
192,Slight
193,Slight
194,Slight
195,Slight
196,Slight
197,Assistance
198,Slight
199,Slight
200,Assistance
201,Slight
202,Slight
203,Slight
204,Slight
205,Slight
206,Slight
207,Assistance
208,Slight
209,Slight
210,Assistance
211,Assistance
212,Assistance
213,Slight
214,Assistance
215,Slight
216,Slight
217,Slight
218,Slight
219,Slight
220,Slight
221,Slight
222,Slight
223,Slight
224,Slight
225,Assistance
226,Slight
227,Slight
228,Slight
229,Slight
230,Slight
231,Slight
232,Slight
233,Assistance
234,Slight
235,Assistance
236,Slight
237,Slight
238,Slight
239,Slight
240,Slight
241,Slight
242,Slight
243,Slight
244,Slight
245,Slight
246,Slight
247,Slight
248,Slight
249,Slight
250,Slight
251,Slight
252,Slight
253,Slight
254,Slight
255,Slight
256,Assistance
257,Slight
258,Slight
259,Assistance
