,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,drogas_alcohol_positivo,vehiculos_implicados,dia_semana,semana_en_año,Latitude,Longitude
36065,2,17,11.0,5,1.0,5.0,1.0,3,1,Serious,443767.292,4464719.193,2,2,2,35,40.33111631345395,-3.6619796106904814
36066,2,17,11.0,5,1.0,5.0,1.0,3,2,Slight,443767.292,4464719.193,1,2,2,35,40.33111631345395,-3.6619796106904814
50307,1,19,11.0,2,1.0,9.0,1.0,3,1,Slight,439229.97,4464807.55,2,3,2,23,40.3315942920585,-3.715398232514648
50308,1,19,11.0,2,1.0,4.0,1.0,3,1,Serious,439229.97,4464807.55,2,3,2,23,40.3315942920585,-3.715398232514648
50309,1,19,11.0,2,1.0,4.0,2.0,3,1,Serious,439229.97,4464807.55,2,3,2,23,40.3315942920585,-3.715398232514648
51498,1,17,11.0,4,1.0,3.0,1.0,3,2,Slight,439229.97,4464807.55,2,2,5,25,40.3315942920585,-3.715398232514648
51499,1,17,11.0,4,1.0,5.0,1.0,3,1,Slight,439229.97,4464807.55,2,2,5,25,40.3315942920585,-3.715398232514648
38763,2,19,11.0,1,2.0,5.0,1.0,3,1,Serious,441379.146,4464850.981,2,2,4,43,40.332139246284754,-3.690103413509104
38764,2,19,11.0,1,2.0,5.0,2.0,3,1,Slight,441379.146,4464850.981,2,2,4,43,40.332139246284754,-3.690103413509104
39128,1,16,5.0,7,1.0,12.0,1.0,3,1,Serious,449472.252,4464997.123,2,1,4,44,40.33398495941408,-3.5948455998703763
151,1,19,11.0,2,1.0,4.0,1.0,3,1,Serious,439886.267,4465030.34,2,2,2,2,40.333648839416064,-3.7076936868231103
152,1,19,11.0,2,1.0,5.0,1.0,3,2,Slight,439886.267,4465030.34,2,2,2,2,40.333648839416064,-3.7076936868231103
19040,1,17,11.0,2,1.0,1.0,1.0,3,1,Serious,438946.413,4465117.354,2,2,5,39,40.334364491950296,-3.7187656913194367
19041,1,17,11.0,2,1.0,5.0,1.0,3,1,Slight,438946.413,4465117.354,2,2,5,39,40.334364491950296,-3.7187656913194367
514,2,19,11.0,2,1.0,4.0,1.0,3,1,Slight,440882.377,4465293.395,2,1,5,2,40.33608974800859,-3.6959920776472406
8985,2,19,11.0,2,1.0,5.0,1.0,3,1,Slight,440888.985,4465295.616,1,7,6,18,40.33611022418652,-3.695914492630313
8986,2,19,11.0,2,1.0,5.0,1.0,3,2,Slight,440888.985,4465295.616,2,7,6,18,40.33611022418652,-3.695914492630313
8987,2,19,11.0,2,1.0,5.0,2.0,1,2,Serious,440888.985,4465295.616,2,7,6,18,40.33611022418652,-3.695914492630313
8988,2,19,11.0,2,1.0,5.0,2.0,3,2,Slight,440888.985,4465295.616,2,7,6,18,40.33611022418652,-3.695914492630313
8989,2,19,11.0,2,1.0,5.0,2.0,3,1,Slight,440888.985,4465295.616,2,7,6,18,40.33611022418652,-3.695914492630313
8990,2,19,11.0,2,1.0,5.0,2.0,1,1,Slight,440888.985,4465295.616,2,7,6,18,40.33611022418652,-3.695914492630313
8991,2,19,11.0,2,1.0,5.0,2.0,1,2,Slight,440888.985,4465295.616,2,7,6,18,40.33611022418652,-3.695914492630313
5808,1,17,11.0,3,1.0,1.0,1.0,3,1,Serious,443156.48,4465583.366,2,1,5,12,40.338859986107394,-3.6692466269066366
45206,1,19,11.0,1,3.0,5.0,1.0,3,1,Slight,439258.31,4465751.71,2,1,2,10,40.34010189137717,-3.7151544280269846
53940,2,19,11.0,6,1.0,5.0,1.0,3,1,Slight,439258.31,4465751.71,2,2,6,32,40.34010189137717,-3.7151544280269846
53941,2,19,11.0,6,1.0,5.0,3.0,3,1,Serious,439258.31,4465751.71,2,2,6,32,40.34010189137717,-3.7151544280269846
34596,1,17,11.0,6,1.0,5.0,1.0,2,1,Slight,440379.233,4465888.604,2,2,6,29,40.341415954031206,-3.701970746767474
34597,1,17,11.0,6,1.0,5.0,3.0,3,2,Serious,440379.233,4465888.604,2,2,6,29,40.341415954031206,-3.701970746767474
35969,2,19,11.0,6,1.0,5.0,1.0,2,1,Slight,439555.584,4465955.132,2,3,5,34,40.34195601942873,-3.7116739266709393
35970,2,19,11.0,6,1.0,5.0,3.0,3,1,Slight,439555.584,4465955.132,1,3,5,34,40.34195601942873,-3.7116739266709393
35971,2,19,11.0,6,1.0,5.0,3.0,3,1,Serious,439555.584,4465955.132,2,3,5,34,40.34195601942873,-3.7116739266709393
45186,1,19,11.0,6,1.0,9.0,1.0,3,1,Slight,441731.96,4466012.46,1,2,2,10,40.34262728330071,-3.686056231273756
45187,1,19,11.0,6,1.0,9.0,3.0,4,2,Serious,441731.96,4466012.46,2,2,2,10,40.34262728330071,-3.686056231273756
26501,1,19,11.0,6,1.0,5.0,3.0,4,2,Serious,440077.145,4466031.614,2,1,1,1,40.34268263253664,-3.705540676897017
32267,2,19,11.0,3,2.0,3.0,1.0,3,1,Serious,441778.985,4466040.142,2,1,1,22,40.34287994253292,-3.6855051141273463
1446,2,17,11.0,4,1.0,4.0,1.0,3,1,Serious,442955.61,4466155.406,2,5,4,4,40.343999587254125,-3.671662521740233
1447,2,17,11.0,4,1.0,5.0,1.0,4,1,Slight,442955.61,4466155.406,2,5,4,4,40.343999587254125,-3.671662521740233
1448,2,17,11.0,4,1.0,5.0,2.0,3,2,Slight,442955.61,4466155.406,2,5,4,4,40.343999587254125,-3.671662521740233
1449,2,17,11.0,4,1.0,5.0,2.0,4,1,Slight,442955.61,4466155.406,2,5,4,4,40.343999587254125,-3.671662521740233
1450,2,17,11.0,4,1.0,5.0,2.0,4,2,Slight,442955.61,4466155.406,2,5,4,4,40.343999587254125,-3.671662521740233
